date,port,fuel_type,price_usd_per_ton
2024-01-01,Singapore,VLSFO,623.24
2024-01-01,Singapore,LSMGO,813.96
2024-01-01,Singapore,HSFO,465.22
2024-01-01,Fujairah,VLSFO,611.29
2024-01-01,Fujairah,LSMGO,803.43
2024-01-01,Fujairah,HSFO,452.14
2024-01-01,Rotterdam,VLSFO,599.99
2024-01-01,Rotterdam,LSMGO,789.3
2024-01-01,Rotterdam,HSFO,438.45
2024-01-01,Visakhapatnam,VLSFO,662.37
2024-01-01,Visakhapatnam,LSMGO,851.26
2024-01-01,Visakhapatnam,HSFO,497.52
2024-01-02,Singapore,VLSFO,625.66
2024-01-02,Singapore,LSMGO,813.37
2024-01-02,Singapore,HSFO,465.82
2024-01-02,Fujairah,VLSFO,613.25
2024-01-02,Fujairah,LSMGO,801.0
2024-01-02,Fujairah,HSFO,448.58
2024-01-02,Rotterdam,VLSFO,597.06
2024-01-02,Rotterdam,LSMGO,788.7
2024-01-02,Rotterdam,HSFO,439.25
2024-01-02,Visakhapatnam,VLSFO,657.0
2024-01-02,Visakhapatnam,LSMGO,846.28
2024-01-02,Visakhapatnam,HSFO,500.46
2024-01-03,Singapore,VLSFO,632.47
2024-01-03,Singapore,LSMGO,819.72
2024-01-03,Singapore,HSFO,467.6
2024-01-03,Fujairah,VLSFO,616.2
2024-01-03,Fujairah,LSMGO,804.68
2024-01-03,Fujairah,HSFO,460.05
2024-01-03,Rotterdam,VLSFO,602.27
2024-01-03,Rotterdam,LSMGO,795.03
2024-01-03,Rotterdam,HSFO,443.21
2024-01-03,Visakhapatnam,VLSFO,664.89
2024-01-03,Visakhapatnam,LSMGO,855.48
2024-01-03,Visakhapatnam,HSFO,506.55
2024-01-04,Singapore,VLSFO,642.25
2024-01-04,Singapore,LSMGO,831.08
2024-01-04,Singapore,HSFO,481.83
2024-01-04,Fujairah,VLSFO,634.41
2024-01-04,Fujairah,LSMGO,824.26
2024-01-04,Fujairah,HSFO,472.6
2024-01-04,Rotterdam,VLSFO,619.62
2024-01-04,Rotterdam,LSMGO,810.0
2024-01-04,Rotterdam,HSFO,457.07
2024-01-04,Visakhapatnam,VLSFO,681.5
2024-01-04,Visakhapatnam,LSMGO,868.53
2024-01-04,Visakhapatnam,HSFO,518.31
2024-01-05,Singapore,VLSFO,641.93
2024-01-05,Singapore,LSMGO,829.1
2024-01-05,Singapore,HSFO,479.81
2024-01-05,Fujairah,VLSFO,631.24
2024-01-05,Fujairah,LSMGO,817.31
2024-01-05,Fujairah,HSFO,470.43
2024-01-05,Rotterdam,VLSFO,615.29
2024-01-05,Rotterdam,LSMGO,806.15
2024-01-05,Rotterdam,HSFO,455.55
2024-01-05,Visakhapatnam,VLSFO,675.95
2024-01-05,Visakhapatnam,LSMGO,868.13
2024-01-05,Visakhapatnam,HSFO,515.6
2024-01-08,Singapore,VLSFO,640.02
2024-01-08,Singapore,LSMGO,829.48
2024-01-08,Singapore,HSFO,480.61
2024-01-08,Fujairah,VLSFO,630.25
2024-01-08,Fujairah,LSMGO,819.02
2024-01-08,Fujairah,HSFO,465.92
2024-01-08,Rotterdam,VLSFO,611.81
2024-01-08,Rotterdam,LSMGO,803.2
2024-01-08,Rotterdam,HSFO,455.2
2024-01-08,Visakhapatnam,VLSFO,671.93
2024-01-08,Visakhapatnam,LSMGO,864.6
2024-01-08,Visakhapatnam,HSFO,515.21
2024-01-09,Singapore,VLSFO,653.85
2024-01-09,Singapore,LSMGO,846.47
2024-01-09,Singapore,HSFO,492.48
2024-01-09,Fujairah,VLSFO,640.29
2024-01-09,Fujairah,LSMGO,834.21
2024-01-09,Fujairah,HSFO,482.81
2024-01-09,Rotterdam,VLSFO,630.97
2024-01-09,Rotterdam,LSMGO,819.45
2024-01-09,Rotterdam,HSFO,468.32
2024-01-09,Visakhapatnam,VLSFO,691.76
2024-01-09,Visakhapatnam,LSMGO,881.64
2024-01-09,Visakhapatnam,HSFO,531.01
2024-01-10,Singapore,VLSFO,661.08
2024-01-10,Singapore,LSMGO,852.99
2024-01-10,Singapore,HSFO,501.61
2024-01-10,Fujairah,VLSFO,647.99
2024-01-10,Fujairah,LSMGO,842.95
2024-01-10,Fujairah,HSFO,488.27
2024-01-10,Rotterdam,VLSFO,640.15
2024-01-10,Rotterdam,LSMGO,827.12
2024-01-10,Rotterdam,HSFO,475.56
2024-01-10,Visakhapatnam,VLSFO,697.7
2024-01-10,Visakhapatnam,LSMGO,889.68
2024-01-10,Visakhapatnam,HSFO,538.84
2024-01-11,Singapore,VLSFO,659.69
2024-01-11,Singapore,LSMGO,848.8
2024-01-11,Singapore,HSFO,499.0
2024-01-11,Fujairah,VLSFO,647.94
2024-01-11,Fujairah,LSMGO,834.34
2024-01-11,Fujairah,HSFO,485.78
2024-01-11,Rotterdam,VLSFO,631.17
2024-01-11,Rotterdam,LSMGO,825.77
2024-01-11,Rotterdam,HSFO,475.51
2024-01-11,Visakhapatnam,VLSFO,690.08
2024-01-11,Visakhapatnam,LSMGO,884.08
2024-01-11,Visakhapatnam,HSFO,535.4
2024-01-12,Singapore,VLSFO,661.35
2024-01-12,Singapore,LSMGO,853.67
2024-01-12,Singapore,HSFO,505.76
2024-01-12,Fujairah,VLSFO,648.47
2024-01-12,Fujairah,LSMGO,842.45
2024-01-12,Fujairah,HSFO,490.05
