date,vessel_class,eua_carbon_price_eur_per_ton,avg_cii_rating,co2_emissions_tons_per_voyage,carbon_tax_cost_usd
2024-01-01,Handysize,72.17,B,575.17,13449.25
2024-01-01,Supramax,72.17,D,860.26,26820.7
2024-01-01,Panamax,72.17,D,1152.12,44900.19
2024-01-01,Capesize,72.17,C,2111.93,98766.86
2024-01-02,Handysize,71.16,A,561.0,12934.33
2024-01-02,Supramax,71.16,C,837.35,25741.08
2024-01-02,Panamax,71.16,D,1165.4,44782.13
2024-01-02,Capesize,71.16,B,1999.16,92184.63
2024-01-03,Handysize,71.31,C,570.37,13178.08
2024-01-03,Supramax,71.31,C,799.76,24637.34
2024-01-03,Panamax,71.31,B,1188.38,45761.42
2024-01-03,Capesize,71.31,C,2144.73,99105.57
2024-01-04,Handysize,73.37,B,529.07,12576.99
2024-01-04,Supramax,73.37,B,853.51,27052.72
2024-01-04,Panamax,73.37,B,1200.11,47548.12
2024-01-04,Capesize,73.37,C,2053.75,97643.0
2024-01-05,Handysize,71.66,C,566.44,13151.51
2024-01-05,Supramax,71.66,D,822.71,25468.73
2024-01-05,Panamax,71.66,C,1206.59,46690.69
2024-01-05,Capesize,71.66,C,2178.76,101172.2
2024-01-08,Handysize,71.9,A,563.54,13128.0
2024-01-08,Supramax,71.9,D,852.38,26475.6
2024-01-08,Panamax,71.9,D,1112.93,43210.62
2024-01-08,Capesize,71.9,D,2036.65,94889.97
2024-01-09,Handysize,70.61,E,563.61,12894.07
2024-01-09,Supramax,70.61,D,807.64,24635.86
2024-01-09,Panamax,70.61,A,1180.66,45017.86
2024-01-09,Capesize,70.61,C,2197.22,100534.42
2024-01-10,Handysize,72.29,C,555.82,13018.39
2024-01-10,Supramax,72.29,A,805.38,25151.44
2024-01-10,Panamax,72.29,D,1125.36,43930.23
2024-01-10,Capesize,72.29,E,2143.75,100421.65
2024-01-11,Handysize,74.16,B,567.49,13635.56
2024-01-11,Supramax,74.16,B,845.21,27078.09
2024-01-11,Panamax,74.16,C,1131.22,45301.29
2024-01-11,Capesize,74.16,D,2117.74,101769.44
2024-01-12,Handysize,74.08,E,522.98,12552.52
2024-01-12,Supramax,74.08,B,858.24,27465.88
2024-01-12,Panamax,74.08,C,1109.01,44363.95
2024-01-12,Capesize,74.08,A,2177.3,104518.76
2024-01-15,Handysize,73.53,A,528.39,12588.22
2024-01-15,Supramax,73.53,B,827.51,26285.82
2024-01-15,Panamax,73.53,D,1192.9,47365.53
2024-01-15,Capesize,73.53,A,2192.19,104452.24
2024-01-16,Handysize,73.27,C,565.27,13419.22
2024-01-16,Supramax,73.27,D,814.0,25765.25
2024-01-16,Panamax,73.27,B,1117.39,44210.43
2024-01-16,Capesize,73.27,A,2195.0,104216.32
2024-01-17,Handysize,72.49,B,541.01,12706.57
2024-01-17,Supramax,72.49,B,844.9,26458.62
2024-01-17,Panamax,72.49,B,1126.84,44109.7
2024-01-17,Capesize,72.49,C,2123.55,99750.62
2024-01-18,Handysize,73.58,B,544.96,12991.8
2024-01-18,Supramax,73.58,D,826.27,26264.28
2024-01-18,Panamax,73.58,D,1193.9,47437.47
2024-01-18,Capesize,73.58,A,2110.96,100650.24
2024-01-19,Handysize,72.55,E,564.17,13261.49
2024-01-19,Supramax,72.55,C,815.99,25574.43
2024-01-19,Panamax,72.55,A,1125.08,44077.26
2024-01-19,Capesize,72.55,B,2024.7,95186.01
2024-01-22,Handysize,72.91,B,524.8,12397.27
2024-01-22,Supramax,72.91,E,827.52,26064.5
2024-01-22,Panamax,72.91,D,1158.57,45614.52
2024-01-22,Capesize,72.91,C,1997.46,94371.36
2024-01-23,Handysize,72.17,B,561.95,13140.12
2024-01-23,Supramax,72.17,C,803.74,25058.56
2024-01-23,Panamax,72.17,D,1137.66,44336.66
2024-01-23,Capesize,72.17,B,2165.07,101252.01
2024-01-24,Handysize,74.45,D,542.89,13095.48
2024-01-24,Supramax,74.45,C,788.45,25358.44
2024-01-24,Panamax,74.45,C,1163.0,46756.09
2024-01-24,Capesize,74.45,A,2061.38,99448.39
2024-01-25,Handysize,72.31,C,572.8,13419.81
2024-01-25,Supramax,72.31,C,786.32,24563.0
2024-01-25,Panamax,72.31,A,1184.78,46262.58
2024-01-25,Capesize,72.31,B,2140.05,100276.07
2024-01-26,Handysize,71.97,D,566.22,13203.28
2024-01-26,Supramax,71.97,B,816.54,25387.08
2024-01-26,Panamax,71.97,E,1206.7,46896.95
2024-01-26,Capesize,71.97,C,2157.54,100620.24
2024-01-29,Handysize,71.74,B,549.1,12763.15
2024-01-29,Supramax,71.74,E,821.81,25469.27
2024-01-29,Panamax,71.74,B,1174.54,45501.21
2024-01-29,Capesize,71.74,B,1995.05,92744.93
2024-01-30,Handysize,70.09,C,535.74,12166.21
2024-01-30,Supramax,70.09,B,823.34,24929.81
2024-01-30,Panamax,70.09,C,1140.97,43184.12
2024-01-30,Capesize,70.09,C,2204.99,100146.94
2024-01-31,Handysize,68.92,A,529.27,11818.64
2024-01-31,Supramax,68.92,A,831.66,24761.38
2024-01-31,Panamax,68.92,C,1095.03,40753.51
2024-01-31,Capesize,68.92,B,2045.94,91372.01
2024-02-01,Handysize,69.21,C,573.6,12862.43
2024-02-01,Supramax,69.21,C,823.72,24628.17
2024-02-01,Panamax,69.21,B,1183.02,44213.48
2024-02-01,Capesize,69.21,C,2029.55,91021.42
2024-02-02,Handysize,69.6,C,547.23,12340.26
2024-02-02,Supramax,69.6,B,828.15,24900.15
2024-02-02,Panamax,69.6,B,1188.66,44674.6
2024-02-02,Capesize,69.6,A,2017.8,91004.39
2024-02-05,Handysize,70.16,C,564.08,12822.58
2024-02-05,Supramax,70.16,B,794.3,24074.53
2024-02-05,Panamax,70.16,A,1103.22,41797.03
2024-02-05,Capesize,70.16,B,2037.74,92643.16
2024-02-06,Handysize,69.69,C,551.29,12447.89
2024-02-06,Supramax,69.69,C,846.77,25492.93
2024-02-06,Panamax,69.69,E,1126.07,42376.94
2024-02-06,Capesize,69.69,E,2055.28,92814.64
2024-02-07,Handysize,68.77,A,571.64,12736.99
2024-02-07,Supramax,68.77,B,854.39,25382.76
2024-02-07,Panamax,68.77,D,1180.54,43840.3
2024-02-07,Capesize,68.77,D,2157.81,96158.4
2024-02-08,Handysize,69.88,D,554.46,12553.6
2024-02-08,Supramax,69.88,A,841.39,25400.02
2024-02-08,Panamax,69.88,D,1197.45,45186.02
2024-02-08,Capesize,69.88,B,2200.57,99646.74
2024-02-09,Handysize,68.22,C,541.72,11973.79
2024-02-09,Supramax,68.22,C,845.1,24905.98
2024-02-09,Panamax,68.22,B,1186.2,43698.18
2024-02-09,Capesize,68.22,C,2056.69,90919.19
2024-02-12,Handysize,67.5,C,576.35,12604.77
2024-02-12,Supramax,67.5,A,835.42,24360.85
2024-02-12,Panamax,67.5,B,1171.94,42717.21
2024-02-12,Capesize,67.5,A,2153.21,94181.41
2024-02-13,Handysize,67.18,A,561.31,12217.65
2024-02-13,Supramax,67.18,C,836.82,24285.99
2024-02-13,Panamax,67.18,C,1148.62,41668.72
2024-02-13,Capesize,67.18,B,2081.82,90627.12
2024-02-14,Handysize,67.16,D,552.69,12026.45
2024-02-14,Supramax,67.16,A,810.1,23503.53
2024-02-14,Panamax,67.16,C,1140.63,41366.54
2024-02-14,Capesize,67.16,B,2046.32,89055.19
2024-02-15,Handysize,66.73,A,524.01,11329.37
2024-02-15,Supramax,66.73,C,786.26,22665.8
2024-02-15,Panamax,66.73,C,1155.09,41622.74
2024-02-15,Capesize,66.73,C,2101.88,90887.48
2024-02-16,Handysize,66.84,C,534.83,11582.36
2024-02-16,Supramax,66.84,B,853.01,24630.56
2024-02-16,Panamax,66.84,C,1124.38,40582.92
2024-02-16,Capesize,66.84,C,2040.95,88398.28
2024-02-19,Handysize,69.3,B,572.24,12848.62
2024-02-19,Supramax,69.3,D,844.54,25283.5
2024-02-19,Panamax,69.3,A,1109.07,41503.62
2024-02-19,Capesize,69.3,B,2185.4,98138.45
2024-02-20,Handysize,69.19,C,547.25,12268.01
2024-02-20,Supramax,69.19,B,814.76,24353.24
2024-02-20,Panamax,69.19,A,1124.5,42014.24
2024-02-20,Capesize,69.19,C,2182.95,97872.83
2024-02-21,Handysize,69.99,B,546.07,12383.1
2024-02-21,Supramax,69.99,D,809.54,24476.99
2024-02-21,Panamax,69.99,C,1134.04,42860.59
2024-02-21,Capesize,69.99,B,2015.81,91424.08
2024-02-22,Handysize,70.85,D,534.54,12270.58
2024-02-22,Supramax,70.85,B,838.57,25666.28
2024-02-22,Panamax,70.85,D,1165.44,44588.57
2024-02-22,Capesize,70.85,D,2118.66,97269.38
2024-02-23,Handysize,70.52,C,535.47,12234.68
2024-02-23,Supramax,70.52,B,797.49,24295.25
2024-02-23,Panamax,70.52,C,1199.67,45684.39
2024-02-23,Capesize,70.52,D,2046.1,93500.55
2024-02-26,Handysize,69.7,C,566.96,12803.54
2024-02-26,Supramax,69.7,D,827.41,24913.65
2024-02-26,Panamax,69.7,B,1183.34,44538.55
2024-02-26,Capesize,69.7,C,2093.19,94540.18
2024-02-27,Handysize,69.47,A,543.6,12235.5
2024-02-27,Supramax,69.47,C,816.03,24489.91
2024-02-27,Panamax,69.47,C,1164.21,43673.94
2024-02-27,Capesize,69.47,C,2038.97,91787.42
2024-02-28,Handysize,70.38,B,539.88,12310.95
2024-02-28,Supramax,70.38,B,800.4,24335.49
2024-02-28,Panamax,70.38,B,1160.46,44103.51
2024-02-28,Capesize,70.38,C,2190.93,99920.08
2024-02-29,Handysize,69.72,C,530.62,11986.32
2024-02-29,Supramax,69.72,B,851.99,25661.12
2024-02-29,Panamax,69.72,C,1119.32,42141.05
2024-02-29,Capesize,69.72,B,2118.22,95698.13
2024-03-01,Handysize,70.87,D,540.71,12415.72
2024-03-01,Supramax,70.87,A,815.83,24977.32
2024-03-01,Panamax,70.87,B,1200.36,45937.54
2024-03-01,Capesize,70.87,D,2163.44,99353.3
2024-03-04,Handysize,71.33,C,575.73,13305.65
2024-03-04,Supramax,71.33,C,842.57,25963.42
2024-03-04,Panamax,71.33,C,1199.59,46206.05
2024-03-04,Capesize,71.33,B,2031.2,93885.8
2024-03-05,Handysize,70.45,C,544.54,12429.56
2024-03-05,Supramax,70.45,D,784.29,23869.4
2024-03-05,Panamax,70.45,E,1173.39,44639.28
2024-03-05,Capesize,70.45,D,2187.73,99873.37
2024-03-06,Handysize,72.08,B,558.0,13031.49
2024-03-06,Supramax,72.08,B,853.24,26568.66
2024-03-06,Panamax,72.08,C,1173.44,45674.04
2024-03-06,Capesize,72.08,D,2013.28,94035.96
2024-03-07,Handysize,71.35,D,537.8,12432.54
2024-03-07,Supramax,71.35,D,826.42,25472.91
2024-03-07,Panamax,71.35,B,1092.86,42106.8
2024-03-07,Capesize,71.35,B,2204.22,101911.67
2024-03-08,Handysize,71.52,E,527.91,12232.98
2024-03-08,Supramax,71.52,A,834.07,25769.96
2024-03-08,Panamax,71.52,B,1204.97,46536.91
2024-03-08,Capesize,71.52,A,2151.41,99707.01
2024-03-11,Handysize,72.86,B,537.82,12696.12
2024-03-11,Supramax,72.86,B,819.21,25785.06
2024-03-11,Panamax,72.86,D,1172.06,46114.0
2024-03-11,Capesize,72.86,C,2044.72,96537.94
2024-03-12,Handysize,73.85,D,523.3,12521.21
2024-03-12,Supramax,73.85,A,841.42,26843.99
2024-03-12,Panamax,73.85,A,1170.3,46670.39
2024-03-12,Capesize,73.85,B,2113.41,101136.81
2024-03-13,Handysize,73.89,C,524.34,12552.89
2024-03-13,Supramax,73.89,C,790.78,25242.08
2024-03-13,Panamax,73.89,C,1137.38,45382.14
2024-03-13,Capesize,73.89,C,2049.65,98138.72
2024-03-14,Handysize,72.23,D,544.02,12731.44
2024-03-14,Supramax,72.23,E,787.92,24585.75
2024-03-14,Panamax,72.23,C,1118.81,43638.29
2024-03-14,Capesize,72.23,C,2030.03,95015.64
2024-03-15,Handysize,71.37,D,538.22,12445.73
2024-03-15,Supramax,71.37,E,808.24,24919.53
2024-03-15,Panamax,71.37,C,1144.35,44103.02
2024-03-15,Capesize,71.37,A,2100.69,97152.21
2024-03-18,Handysize,71.16,A,538.5,12415.57
2024-03-18,Supramax,71.16,C,858.09,26378.65
2024-03-18,Panamax,71.16,C,1128.66,43370.34
2024-03-18,Capesize,71.16,D,2151.21,99195.91
2024-03-19,Handysize,72.47,E,538.4,12641.78
2024-03-19,Supramax,72.47,B,828.82,25947.9
2024-03-19,Panamax,72.47,C,1148.13,44930.69
2024-03-19,Capesize,72.47,B,2124.37,99761.6
2024-03-20,Handysize,72.32,C,569.66,13348.09
2024-03-20,Supramax,72.32,D,809.94,25304.34
2024-03-20,Panamax,72.32,A,1134.98,44324.15
2024-03-20,Capesize,72.32,D,2055.42,96323.89
2024-03-21,Handysize,72.84,C,534.56,12615.7
2024-03-21,Supramax,72.84,E,800.18,25179.17
2024-03-21,Panamax,72.84,C,1107.92,43578.48
2024-03-21,Capesize,72.84,B,2090.48,98671.32
2024-03-22,Handysize,73.04,B,527.37,12480.19
2024-03-22,Supramax,73.04,B,783.83,24732.41
2024-03-22,Panamax,73.04,A,1100.47,43404.3
2024-03-22,Capesize,73.04,B,2054.65,97246.42
2024-03-25,Handysize,72.52,C,543.43,12768.69
2024-03-25,Supramax,72.52,B,811.61,25426.64
2024-03-25,Panamax,72.52,C,1190.23,46610.36
2024-03-25,Capesize,72.52,D,2180.09,102448.88
2024-03-26,Handysize,74.28,D,556.91,13403.0
2024-03-26,Supramax,74.28,B,847.78,27204.38
2024-03-26,Panamax,74.28,D,1152.26,46218.53
2024-03-26,Capesize,74.28,A,2105.98,101368.06
2024-03-27,Handysize,72.69,D,573.28,13501.64
2024-03-27,Supramax,72.69,C,793.83,24927.91
2024-03-27,Panamax,72.69,C,1171.69,45991.88
2024-03-27,Capesize,72.69,C,2120.27,99871.33
2024-03-28,Handysize,74.23,D,523.12,12581.31
2024-03-28,Supramax,74.23,D,840.93,26966.41
2024-03-28,Panamax,74.23,C,1139.49,45675.55
2024-03-28,Capesize,74.23,B,1997.34,96074.13
2024-03-29,Handysize,73.8,B,556.16,13298.45
2024-03-29,Supramax,73.8,D,796.24,25385.41
2024-03-29,Panamax,73.8,D,1124.1,44797.63
2024-03-29,Capesize,73.8,C,2014.49,96337.75
2024-04-01,Handysize,74.64,B,535.46,12949.22
2024-04-01,Supramax,74.64,B,825.55,26619.43
2024-04-01,Panamax,74.64,A,1130.78,45576.77
2024-04-01,Capesize,74.64,B,2016.64,97538.26
2024-04-02,Handysize,73.65,C,560.99,13386.68
2024-04-02,Supramax,73.65,C,805.38,25624.61
2024-04-02,Panamax,73.65,C,1144.25,45507.97
2024-04-02,Capesize,73.65,B,2023.51,96572.42
2024-04-03,Handysize,72.02,D,556.43,12984.0
2024-04-03,Supramax,72.02,D,797.16,24801.75
2024-04-03,Panamax,72.02,C,1148.08,44649.75
2024-04-03,Capesize,72.02,D,2000.18,93346.32
2024-04-04,Handysize,72.45,A,574.77,13492.04
2024-04-04,Supramax,72.45,C,810.7,25373.61
2024-04-04,Panamax,72.45,D,1176.71,46036.43
2024-04-04,Capesize,72.45,A,2040.38,95790.94
2024-04-05,Handysize,73.34,B,536.32,12744.12
2024-04-05,Supramax,73.34,C,800.27,25354.86
2024-04-05,Panamax,73.34,A,1145.5,45365.92
2024-04-05,Capesize,73.34,C,2127.98,101130.8
2024-04-08,Handysize,73.85,D,573.3,13717.58
2024-04-08,Supramax,73.85,C,785.25,25051.99
2024-04-08,Panamax,73.85,D,1113.05,44387.32
2024-04-08,Capesize,73.85,B,2131.48,102001.55
2024-04-09,Handysize,72.29,C,528.25,12372.65
2024-04-09,Supramax,72.29,C,782.6,24440.03
2024-04-09,Panamax,72.29,C,1187.94,46373.14
2024-04-09,Capesize,72.29,C,2067.85,96866.2
2024-04-10,Handysize,72.41,D,544.74,12780.06
2024-04-10,Supramax,72.41,A,797.96,24961.08
2024-04-10,Panamax,72.41,D,1119.84,43787.31
2024-04-10,Capesize,72.41,C,2035.47,95507.67
2024-04-11,Handysize,73.05,A,557.61,13197.63
2024-04-11,Supramax,73.05,C,859.5,27123.76
2024-04-11,Panamax,73.05,C,1150.7,45391.66
2024-04-11,Capesize,73.05,D,2098.2,99321.23
2024-04-12,Handysize,73.95,A,528.64,12666.11
2024-04-12,Supramax,73.95,B,846.21,27033.36
2024-04-12,Panamax,73.95,D,1101.17,43973.02
2024-04-12,Capesize,73.95,B,2006.41,96146.36
2024-04-15,Handysize,74.17,D,548.6,13183.45
2024-04-15,Supramax,74.17,C,833.64,26711.03
2024-04-15,Panamax,74.17,B,1201.94,48139.86
2024-04-15,Capesize,74.17,A,2113.9,101598.6
2024-04-16,Handysize,73.13,B,569.93,13503.99
2024-04-16,Supramax,73.13,C,817.37,25822.48
2024-04-16,Panamax,73.13,D,1207.24,47674.15
2024-04-16,Capesize,73.13,C,2137.65,101299.47
2024-04-17,Handysize,72.14,E,543.73,12708.8
2024-04-17,Supramax,72.14,A,819.65,25543.97
2024-04-17,Panamax,72.14,E,1097.75,42763.51
2024-04-17,Capesize,72.14,D,2112.9,98771.14
2024-04-18,Handysize,73.72,C,540.51,12910.23
2024-04-18,Supramax,73.72,B,844.97,26909.79
2024-04-18,Panamax,73.72,C,1131.15,45029.72
2024-04-18,Capesize,73.72,D,2167.71,103552.72
2024-04-19,Handysize,74.55,D,573.71,13857.51
2024-04-19,Supramax,74.55,C,782.56,25202.81
2024-04-19,Panamax,74.55,C,1197.04,48189.24
2024-04-19,Capesize,74.55,D,2135.6,103167.42
2024-04-22,Handysize,74.3,A,551.42,13274.44
2024-04-22,Supramax,74.3,B,819.79,26313.29
2024-04-22,Panamax,74.3,B,1182.69,47451.89
2024-04-22,Capesize,74.3,C,2194.77,105670.27
2024-04-23,Handysize,73.63,D,552.7,13185.28
2024-04-23,Supramax,73.63,C,790.96,25158.98
2024-04-23,Panamax,73.63,B,1109.01,44094.46
2024-04-23,Capesize,73.63,B,2045.97,97617.81
2024-04-24,Handysize,72.19,C,530.76,12414.24
2024-04-24,Supramax,72.19,C,783.34,24429.3
2024-04-24,Panamax,72.19,D,1172.45,45705.15
2024-04-24,Capesize,72.19,B,2118.9,99120.28
2024-04-25,Handysize,73.33,C,539.95,12828.63
2024-04-25,Supramax,73.33,D,782.09,24775.48
2024-04-25,Panamax,73.33,A,1096.86,43433.68
2024-04-25,Capesize,73.33,D,2012.99,95652.94
2024-04-26,Handysize,73.06,D,570.71,13509.53
2024-04-26,Supramax,73.06,A,822.3,25953.37
2024-04-26,Panamax,73.06,E,1186.1,46794.49
2024-04-26,Capesize,73.06,B,2013.17,95309.27
2024-04-29,Handysize,73.88,C,523.05,12520.31
2024-04-29,Supramax,73.88,B,824.23,26306.26
2024-04-29,Panamax,73.88,C,1157.22,46167.52
2024-04-29,Capesize,73.88,B,2079.12,99536.29
2024-04-30,Handysize,73.59,D,535.67,12772.07
2024-04-30,Supramax,73.59,D,837.36,26620.41
2024-04-30,Panamax,73.59,D,1127.25,44795.34
2024-04-30,Capesize,73.59,C,2133.33,101730.66
2024-05-01,Handysize,73.43,C,574.64,13671.44
2024-05-01,Supramax,73.43,B,831.07,26363.0
2024-05-01,Panamax,73.43,D,1195.54,47405.79
2024-05-01,Capesize,73.43,C,2139.52,101804.01
2024-05-02,Handysize,73.82,A,554.97,13273.59
2024-05-02,Supramax,73.82,C,855.19,27272.21
2024-05-02,Panamax,73.82,A,1145.39,45658.45
2024-05-02,Capesize,73.82,A,2029.12,97063.69
2024-05-03,Handysize,72.69,D,544.64,12827.12
2024-05-03,Supramax,72.69,C,805.62,25298.14
2024-05-03,Panamax,72.69,D,1178.39,46254.87
2024-05-03,Capesize,72.69,C,2017.31,95021.6
2024-05-06,Handysize,71.93,B,577.36,13455.56
2024-05-06,Supramax,71.93,B,830.42,25804.27
2024-05-06,Panamax,71.93,B,1127.28,43786.04
2024-05-06,Capesize,71.93,B,2004.4,93426.37
2024-05-07,Handysize,72.35,B,549.99,12892.54
2024-05-07,Supramax,72.35,D,814.48,25456.74
2024-05-07,Panamax,72.35,C,1108.83,43320.88
2024-05-07,Capesize,72.35,B,2013.7,94407.89
2024-05-08,Handysize,73.04,B,566.7,13410.93
2024-05-08,Supramax,73.04,A,832.99,26283.57
2024-05-08,Panamax,73.04,C,1188.0,46856.62
2024-05-08,Capesize,73.04,B,2077.19,98313.24
2024-05-09,Handysize,73.21,C,576.16,13666.54
2024-05-09,Supramax,73.21,C,859.04,27168.62
2024-05-09,Panamax,73.21,B,1111.98,43960.35
2024-05-09,Capesize,73.21,C,2024.37,96036.27
2024-05-10,Handysize,72.79,A,562.04,13255.13
2024-05-10,Supramax,72.79,B,853.29,26831.94
2024-05-10,Panamax,72.79,B,1162.0,45674.27
2024-05-10,Capesize,72.79,C,2105.38,99306.4
2024-05-13,Handysize,72.13,A,540.31,12627.11
2024-05-13,Supramax,72.13,B,814.62,25383.69
2024-05-13,Panamax,72.13,B,1103.23,42971.03
2024-05-13,Capesize,72.13,D,2031.21,94939.24
2024-05-14,Handysize,73.48,E,568.8,13541.72
2024-05-14,Supramax,73.48,C,831.93,26408.25
2024-05-14,Panamax,73.48,B,1099.81,43639.58
2024-05-14,Capesize,73.48,A,2067.36,98437.43
2024-05-15,Handysize,73.64,C,537.45,12823.21
2024-05-15,Supramax,73.64,C,782.78,24902.17
2024-05-15,Panamax,73.64,C,1134.74,45123.62
2024-05-15,Capesize,73.64,C,2159.66,103056.21
2024-05-16,Handysize,73.83,A,555.8,13295.25
2024-05-16,Supramax,73.83,C,781.68,24931.34
2024-05-16,Panamax,73.83,C,1155.97,46086.44
2024-05-16,Capesize,73.83,A,2031.51,97191.18
2024-05-17,Handysize,74.43,B,575.58,13880.3
2024-05-17,Supramax,74.43,B,835.27,26857.07
2024-05-17,Panamax,74.43,B,1103.79,44363.75
2024-05-17,Capesize,74.43,C,2001.92,96553.88
2024-05-20,Handysize,73.51,E,523.25,12462.37
2024-05-20,Supramax,73.51,B,843.16,26775.66
2024-05-20,Panamax,73.51,C,1099.55,43647.08
2024-05-20,Capesize,73.51,C,2094.63,99776.61
2024-05-21,Handysize,73.59,D,523.62,12484.76
2024-05-21,Supramax,73.59,C,821.05,26101.9
2024-05-21,Panamax,73.59,C,1141.17,45348.5
2024-05-21,Capesize,73.59,A,2197.34,104783.06
2024-05-22,Handysize,75.07,C,548.04,13329.8
2024-05-22,Supramax,75.07,B,825.96,26786.08
2024-05-22,Panamax,75.07,A,1165.52,47247.62
2024-05-22,Capesize,75.07,C,2100.18,102164.01
2024-05-23,Handysize,75.09,B,544.67,13251.36
2024-05-23,Supramax,75.09,A,839.98,27248.01
2024-05-23,Panamax,75.09,C,1195.49,48475.45
2024-05-23,Capesize,75.09,C,2022.18,98395.88
2024-05-24,Handysize,74.41,C,540.34,13026.97
2024-05-24,Supramax,74.41,C,790.26,25403.0
2024-05-24,Panamax,74.41,C,1164.64,46796.87
2024-05-24,Capesize,74.41,B,2040.67,98396.37
2024-05-27,Handysize,77.75,C,546.87,13776.2
2024-05-27,Supramax,77.75,D,859.03,28853.1
2024-05-27,Panamax,77.75,B,1129.41,47418.28
