date,commodity,price_usd_per_ton
2024-01-01,Coal (Australian),139.92
2024-01-01,Coal (Indonesian),77.5
2024-01-01,Coal (South African),114.28
2024-01-01,Iron Ore (62% Fe),116.87
2024-02-01,Coal (Australian),157.84
2024-02-01,Coal (Indonesian),82.17
2024-02-01,Coal (South African),122.74
2024-02-01,Iron Ore (62% Fe),113.58
2024-03-01,Coal (Australian),151.34
2024-03-01,Coal (Indonesian),80.1
2024-03-01,Coal (South African),116.79
2024-03-01,Iron Ore (62% Fe),128.63
2024-04-01,Coal (Australian),151.24
2024-04-01,Coal (Indonesian),84.46
2024-04-01,Coal (South African),121.3
2024-04-01,Iron Ore (62% Fe),137.37
2024-05-01,Coal (Australian),151.05
2024-05-01,Coal (Indonesian),83.74
2024-05-01,Coal (South African),118.84
2024-05-01,Iron Ore (62% Fe),127.08
2024-06-01,Coal (Australian),150.8
2024-06-01,Coal (Indonesian),87.09
2024-06-01,Coal (South African),124.24
2024-06-01,Iron Ore (62% Fe),119.48
2024-07-01,Coal (Australian),161.87
2024-07-01,Coal (Indonesian),80.37
2024-07-01,Coal (South African),119.88
2024-07-01,Iron Ore (62% Fe),125.11
2024-08-01,Coal (Australian),165.83
2024-08-01,Coal (Indonesian),83.92
2024-08-01,Coal (South African),120.1
2024-08-01,Iron Ore (62% Fe),128.97
2024-09-01,Coal (Australian),151.53
2024-09-01,Coal (Indonesian),80.75
2024-09-01,Coal (South African),121.51
2024-09-01,Iron Ore (62% Fe),112.6
2024-10-01,Coal (Australian),143.94
2024-10-01,Coal (Indonesian),82.95
2024-10-01,Coal (South African),112.16
2024-10-01,Iron Ore (62% Fe),112.51
2024-11-01,Coal (Australian),159.37
2024-11-01,Coal (Indonesian),86.4
2024-11-01,Coal (South African),107.5
2024-11-01,Iron Ore (62% Fe),128.67
2024-12-01,Coal (Australian),155.46
2024-12-01,Coal (Indonesian),79.42
2024-12-01,Coal (South African),121.08
2024-12-01,Iron Ore (62% Fe),112.04
2025-01-01,Coal (Australian),146.28
2025-01-01,Coal (Indonesian),82.44
2025-01-01,Coal (South African),118.21
2025-01-01,Iron Ore (62% Fe),123.98
2025-02-01,Coal (Australian),147.85
2025-02-01,Coal (Indonesian),78.98
2025-02-01,Coal (South African),120.66
2025-02-01,Iron Ore (62% Fe),123.39
2025-03-01,Coal (Australian),140.19
2025-03-01,Coal (Indonesian),78.02
2025-03-01,Coal (South African),117.4
2025-03-01,Iron Ore (62% Fe),120.49
2025-04-01,Coal (Australian),141.53
2025-04-01,Coal (Indonesian),80.46
2025-04-01,Coal (South African),118.67
2025-04-01,Iron Ore (62% Fe),107.85
2025-05-01,Coal (Australian),142.57
2025-05-01,Coal (Indonesian),84.12
2025-05-01,Coal (South African),109.53
2025-05-01,Iron Ore (62% Fe),130.01
2025-06-01,Coal (Australian),148.22
2025-06-01,Coal (Indonesian),82.01
2025-06-01,Coal (South African),114.57
2025-06-01,Iron Ore (62% Fe),126.68
2025-07-01,Coal (Australian),162.69
2025-07-01,Coal (Indonesian),89.41
2025-07-01,Coal (South African),129.19
2025-07-01,Iron Ore (62% Fe),129.35
2025-08-01,Coal (Australian),170.11
2025-08-01,Coal (Indonesian),95.68
2025-08-01,Coal (South African),132.76
2025-08-01,Iron Ore (62% Fe),129.8
2025-09-01,Coal (Australian),175.97
2025-09-01,Coal (Indonesian),94.89
2025-09-01,Coal (South African),136.28
2025-09-01,Iron Ore (62% Fe),145.14
2025-10-01,Coal (Australian),174.45
2025-10-01,Coal (Indonesian),101.15
2025-10-01,Coal (South African),134.11
2025-10-01,Iron Ore (62% Fe),148.62
2025-11-01,Coal (Australian),158.81
2025-11-01,Coal (Indonesian),96.58
2025-11-01,Coal (South African),132.22
2025-11-01,Iron Ore (62% Fe),126.76
2025-12-01,Coal (Australian),167.28
2025-12-01,Coal (Indonesian),90.0
2025-12-01,Coal (South African),138.72
2025-12-01,Iron Ore (62% Fe),135.83
2026-01-01,Coal (Australian),179.85
2026-01-01,Coal (Indonesian),93.82
2026-01-01,Coal (South African),123.88
2026-01-01,Iron Ore (62% Fe),136.23
2026-02-01,Coal (Australian),168.07
2026-02-01,Coal (Indonesian),95.27
2026-02-01,Coal (South African),121.78
2026-02-01,Iron Ore (62% Fe),133.92
2026-03-01,Coal (Australian),163.44
2026-03-01,Coal (Indonesian),93.72
2026-03-01,Coal (South African),131.13
2026-03-01,Iron Ore (62% Fe),138.56
2026-04-01,Coal (Australian),172.79
2026-04-01,Coal (Indonesian),92.9
2026-04-01,Coal (South African),134.74
2026-04-01,Iron Ore (62% Fe),134.47
2026-05-01,Coal (Australian),169.0
2026-05-01,Coal (Indonesian),96.6
2026-05-01,Coal (South African),134.63
2026-05-01,Iron Ore (62% Fe),133.12
2026-06-01,Coal (Australian),187.68
2026-06-01,Coal (Indonesian),92.47
2026-06-01,Coal (South African),126.26
2026-06-01,Iron Ore (62% Fe),148.35
2026-07-01,Coal (Australian),178.93
2026-07-01,Coal (Indonesian),98.69
2026-07-01,Coal (South African),133.02
2026-07-01,Iron Ore (62% Fe),132.8
2026-08-01,Coal (Australian),175.29
2026-08-01,Coal (Indonesian),98.09
2026-08-01,Coal (South African),137.61
2026-08-01,Iron Ore (62% Fe),144.77
2026-09-01,Coal (Australian),183.5
2026-09-01,Coal (Indonesian),93.39
2026-09-01,Coal (South African),126.12
2026-09-01,Iron Ore (62% Fe),139.74
