date,currency_pair,exchange_rate,daily_change_pct
2024-01-01,USD/INR,83.0805,-0.14
2024-01-02,USD/INR,83.0767,-0.0
2024-01-03,USD/INR,82.9744,-0.12
2024-01-04,USD/INR,82.7772,-0.24
2024-01-05,USD/INR,82.7343,-0.05
2024-01-08,USD/INR,82.5294,-0.25
2024-01-09,USD/INR,82.4215,-0.13
2024-01-10,USD/INR,82.6165,0.24
2024-01-11,USD/INR,82.6326,0.02
2024-01-12,USD/INR,82.5103,-0.15
2024-01-15,USD/INR,82.5943,0.1
2024-01-16,USD/INR,82.5353,-0.07
2024-01-17,USD/INR,82.6105,0.09
2024-01-18,USD/INR,82.5429,-0.08
2024-01-19,USD/INR,82.7951,0.31
2024-01-22,USD/INR,83.0573,0.32
2024-01-23,USD/INR,83.0053,-0.06
2024-01-24,USD/INR,83.0715,0.08
2024-01-25,USD/INR,82.8029,-0.32
2024-01-26,USD/INR,82.7459,-0.07
2024-01-29,USD/INR,82.7125,-0.04
2024-01-30,USD/INR,82.6198,-0.11
2024-01-31,USD/INR,82.6155,-0.01
2024-02-01,USD/INR,82.5702,-0.05
2024-02-02,USD/INR,82.5435,-0.03
2024-02-05,USD/INR,82.5967,0.06
2024-02-06,USD/INR,82.5413,-0.07
2024-02-07,USD/INR,82.5598,0.02
2024-02-08,USD/INR,82.2827,-0.34
2024-02-09,USD/INR,82.4741,0.23
2024-02-12,USD/INR,82.6332,0.19
2024-02-13,USD/INR,82.7036,0.09
2024-02-14,USD/INR,82.806,0.12
2024-02-15,USD/INR,82.9451,0.17
2024-02-16,USD/INR,83.1583,0.26
2024-02-19,USD/INR,83.3946,0.28
2024-02-20,USD/INR,83.5685,0.21
2024-02-21,USD/INR,82.9858,-0.7
2024-02-22,USD/INR,82.8294,-0.19
2024-02-23,USD/INR,82.7483,-0.1
2024-02-26,USD/INR,82.9088,0.19
2024-02-27,USD/INR,82.7605,-0.18
2024-02-28,USD/INR,83.1342,0.45
2024-02-29,USD/INR,83.3603,0.27
2024-03-01,USD/INR,83.3378,-0.03
2024-03-04,USD/INR,83.4948,0.19
2024-03-05,USD/INR,83.7078,0.26
2024-03-06,USD/INR,83.5762,-0.16
2024-03-07,USD/INR,83.5413,-0.04
2024-03-08,USD/INR,83.5439,0.0
2024-03-11,USD/INR,83.5978,0.06
2024-03-12,USD/INR,83.3039,-0.35
2024-03-13,USD/INR,83.3526,0.06
2024-03-14,USD/INR,83.2724,-0.1
2024-03-15,USD/INR,83.1284,-0.17
2024-03-18,USD/INR,83.081,-0.06
2024-03-19,USD/INR,83.509,0.52
2024-03-20,USD/INR,83.6335,0.15
2024-03-21,USD/INR,83.5912,-0.05
2024-03-22,USD/INR,83.6949,0.12
2024-03-25,USD/INR,83.7084,0.02
2024-03-26,USD/INR,83.675,-0.04
2024-03-27,USD/INR,83.8792,0.24
2024-03-28,USD/INR,83.9942,0.14
2024-03-29,USD/INR,83.8846,-0.13
2024-04-01,USD/INR,83.7017,-0.22
2024-04-02,USD/INR,83.6138,-0.1
2024-04-03,USD/INR,83.4229,-0.23
2024-04-04,USD/INR,83.5697,0.18
2024-04-05,USD/INR,83.5242,-0.05
2024-04-08,USD/INR,83.6434,0.14
2024-04-09,USD/INR,83.5019,-0.17
2024-04-10,USD/INR,83.5754,0.09
2024-04-11,USD/INR,83.6365,0.07
2024-04-12,USD/INR,83.7147,0.09
2024-04-15,USD/INR,83.4558,-0.31
2024-04-16,USD/INR,83.6178,0.19
2024-04-17,USD/INR,83.5632,-0.07
2024-04-18,USD/INR,83.3404,-0.27
2024-04-19,USD/INR,83.4542,0.14
2024-04-22,USD/INR,83.7442,0.35
2024-04-23,USD/INR,84.0117,0.32
2024-04-24,USD/INR,83.8107,-0.24
2024-04-25,USD/INR,83.8152,0.01
2024-04-26,USD/INR,84.1507,0.4
2024-04-29,USD/INR,84.0624,-0.1
2024-04-30,USD/INR,84.0536,-0.01
2024-05-01,USD/INR,84.1177,0.08
2024-05-02,USD/INR,84.5095,0.47
2024-05-03,USD/INR,84.6027,0.11
2024-05-06,USD/INR,84.5992,-0.0
2024-05-07,USD/INR,84.7756,0.21
2024-05-08,USD/INR,84.7252,-0.06
2024-05-09,USD/INR,84.6278,-0.12
2024-05-10,USD/INR,85.0032,0.44
2024-05-13,USD/INR,85.2336,0.27
2024-05-14,USD/INR,85.1358,-0.11
2024-05-15,USD/INR,85.0526,-0.1
2024-05-16,USD/INR,84.9271,-0.15
2024-05-17,USD/INR,84.9089,-0.02
2024-05-20,USD/INR,85.0031,0.11
2024-05-21,USD/INR,85.1047,0.12
2024-05-22,USD/INR,85.1659,0.07
2024-05-23,USD/INR,85.155,-0.01
2024-05-24,USD/INR,85.067,-0.1
2024-05-27,USD/INR,85.087,0.02
2024-05-28,USD/INR,84.9297,-0.18
2024-05-29,USD/INR,85.3173,0.46
2024-05-30,USD/INR,85.0049,-0.37
2024-05-31,USD/INR,85.0698,0.08
2024-06-03,USD/INR,84.9043,-0.19
2024-06-04,USD/INR,84.8186,-0.1
2024-06-05,USD/INR,84.9294,0.13
2024-06-06,USD/INR,85.0791,0.18
2024-06-07,USD/INR,85.1724,0.11
2024-06-10,USD/INR,85.133,-0.05
2024-06-11,USD/INR,85.015,-0.14
2024-06-12,USD/INR,84.9572,-0.07
2024-06-13,USD/INR,85.0391,0.1
2024-06-14,USD/INR,84.8869,-0.18
2024-06-17,USD/INR,84.8868,-0.0
2024-06-18,USD/INR,85.0013,0.13
2024-06-19,USD/INR,84.9015,-0.12
2024-06-20,USD/INR,84.9516,0.06
2024-06-21,USD/INR,84.8026,-0.18
2024-06-24,USD/INR,85.0481,0.29
2024-06-25,USD/INR,84.9748,-0.09
2024-06-26,USD/INR,85.033,0.07
2024-06-27,USD/INR,85.1033,0.08
2024-06-28,USD/INR,84.8766,-0.27
2024-07-01,USD/INR,84.8642,-0.01
2024-07-02,USD/INR,84.8669,0.0
2024-07-03,USD/INR,85.1351,0.32
2024-07-04,USD/INR,85.3259,0.22
2024-07-05,USD/INR,85.3664,0.05
2024-07-08,USD/INR,85.3946,0.03
2024-07-09,USD/INR,85.4454,0.06
2024-07-10,USD/INR,85.606,0.19
2024-07-11,USD/INR,85.3346,-0.32
2024-07-12,USD/INR,85.2927,-0.05
2024-07-15,USD/INR,85.3984,0.12
2024-07-16,USD/INR,85.4146,0.02
2024-07-17,USD/INR,85.7022,0.34
2024-07-18,USD/INR,85.5286,-0.2
2024-07-19,USD/INR,85.86,0.39
2024-07-22,USD/INR,86.1042,0.28
2024-07-23,USD/INR,86.291,0.22
2024-07-24,USD/INR,86.2897,-0.0
2024-07-25,USD/INR,86.2569,-0.04
2024-07-26,USD/INR,86.4428,0.22
2024-07-29,USD/INR,86.3497,-0.11
2024-07-30,USD/INR,86.4427,0.11
2024-07-31,USD/INR,86.1108,-0.38
2024-08-01,USD/INR,86.2742,0.19
2024-08-02,USD/INR,86.236,-0.04
2024-08-05,USD/INR,86.0784,-0.18
2024-08-06,USD/INR,86.0776,-0.0
2024-08-07,USD/INR,85.7853,-0.34
2024-08-08,USD/INR,85.705,-0.09
2024-08-09,USD/INR,85.6087,-0.11
2024-08-12,USD/INR,85.3651,-0.28
2024-08-13,USD/INR,85.3845,0.02
2024-08-14,USD/INR,85.2305,-0.18
2024-08-15,USD/INR,85.0245,-0.24
2024-08-16,USD/INR,84.8323,-0.23
2024-08-19,USD/INR,84.6611,-0.2
2024-08-20,USD/INR,84.7762,0.14
2024-08-21,USD/INR,84.8172,0.05
2024-08-22,USD/INR,84.9897,0.2
2024-08-23,USD/INR,85.1061,0.14
2024-08-26,USD/INR,85.271,0.19
2024-08-27,USD/INR,85.3533,0.1
2024-08-28,USD/INR,85.5538,0.23
2024-08-29,USD/INR,85.8018,0.29
2024-08-30,USD/INR,85.83,0.03
2024-09-02,USD/INR,85.7029,-0.15
2024-09-03,USD/INR,85.696,-0.01
2024-09-04,USD/INR,85.8799,0.21
2024-09-05,USD/INR,86.0328,0.18
2024-09-06,USD/INR,86.0834,0.06
2024-09-09,USD/INR,86.2222,0.16
2024-09-10,USD/INR,86.6744,0.52
2024-09-11,USD/INR,86.5368,-0.16
2024-09-12,USD/INR,86.4183,-0.14
2024-09-13,USD/INR,86.6826,0.31
2024-09-16,USD/INR,86.7594,0.09
2024-09-17,USD/INR,86.6877,-0.08
2024-09-18,USD/INR,86.6001,-0.1
2024-09-19,USD/INR,86.5457,-0.06
2024-09-20,USD/INR,86.2436,-0.35
2024-09-23,USD/INR,86.0633,-0.21
2024-09-24,USD/INR,86.0491,-0.02
2024-09-25,USD/INR,86.2767,0.26
2024-09-26,USD/INR,86.3332,0.07
2024-09-27,USD/INR,85.9592,-0.43
2024-09-30,USD/INR,85.7061,-0.29
2024-10-01,USD/INR,85.8885,0.21
2024-10-02,USD/INR,85.8301,-0.07
2024-10-03,USD/INR,86.0637,0.27
2024-10-04,USD/INR,86.0986,0.04
2024-10-07,USD/INR,86.3897,0.34
2024-10-08,USD/INR,86.3106,-0.09
2024-10-09,USD/INR,86.1941,-0.14
2024-10-10,USD/INR,86.3586,0.19
2024-10-11,USD/INR,86.6134,0.3
2024-10-14,USD/INR,86.4083,-0.24
2024-10-15,USD/INR,86.4836,0.09
2024-10-16,USD/INR,86.5192,0.04
2024-10-17,USD/INR,86.638,0.14
2024-10-18,USD/INR,86.5526,-0.1
2024-10-21,USD/INR,86.5366,-0.02
2024-10-22,USD/INR,86.6217,0.1
2024-10-23,USD/INR,86.8061,0.21
2024-10-24,USD/INR,86.6324,-0.2
2024-10-25,USD/INR,86.5701,-0.07
2024-10-28,USD/INR,86.5311,-0.05
2024-10-29,USD/INR,86.714,0.21
2024-10-30,USD/INR,86.7917,0.09
