date,vessel_class,demurrage_rate_usd_per_day,despatch_rate_usd_per_day,allowed_laytime_hours,projected_delay_hours,net_demurrage_cost_usd
2024-01-01,Handysize,10864.87,5432.44,48,47.5,0.0
2024-01-01,Supramax,14679.21,7339.6,60,25.3,0.0
2024-01-01,Panamax,18440.43,9220.22,72,6.8,0.0
2024-01-01,Capesize,28050.02,14025.01,96,19.0,0.0
2024-01-02,Handysize,11024.5,5512.25,48,28.4,0.0
2024-01-02,Supramax,14136.07,7068.03,60,22.2,0.0
2024-01-02,Panamax,17802.68,8901.34,72,58.2,0.0
2024-01-02,Capesize,27547.94,13773.97,96,26.9,0.0
2024-01-03,Handysize,10551.83,5275.91,48,42.5,0.0
2024-01-03,Supramax,13867.56,6933.78,60,1.1,0.0
2024-01-03,Panamax,18135.93,9067.97,72,26.4,0.0
2024-01-03,Capesize,27117.82,13558.91,96,50.4,0.0
2024-01-04,Handysize,10764.75,5382.38,48,30.3,0.0
2024-01-04,Supramax,14527.92,7263.96,60,30.8,0.0
2024-01-04,Panamax,17907.35,8953.67,72,55.8,0.0
2024-01-04,Capesize,27596.19,13798.09,96,32.8,0.0
2024-01-05,Handysize,10993.77,5496.89,48,33.4,0.0
2024-01-05,Supramax,13870.76,6935.38,60,27.8,0.0
2024-01-05,Panamax,17979.66,8989.83,72,42.6,0.0
2024-01-05,Capesize,26346.89,13173.44,96,18.0,0.0
2024-01-08,Handysize,10492.76,5246.38,48,17.0,0.0
2024-01-08,Supramax,13663.46,6831.73,60,0.0,0.0
2024-01-08,Panamax,17995.36,8997.68,72,19.5,0.0
2024-01-08,Capesize,26948.94,13474.47,96,0.0,0.0
2024-01-09,Handysize,10761.24,5380.62,48,35.1,0.0
2024-01-09,Supramax,13415.05,6707.52,60,9.2,0.0
2024-01-09,Panamax,17558.57,8779.28,72,0.0,0.0
2024-01-09,Capesize,26445.23,13222.61,96,30.3,0.0
2024-01-10,Handysize,10137.5,5068.75,48,30.3,0.0
2024-01-10,Supramax,14167.44,7083.72,60,0.3,0.0
2024-01-10,Panamax,18006.14,9003.07,72,6.2,0.0
2024-01-10,Capesize,26324.92,13162.46,96,21.0,0.0
2024-01-11,Handysize,10315.49,5157.74,48,4.3,0.0
2024-01-11,Supramax,13473.59,6736.8,60,12.2,0.0
2024-01-11,Panamax,18107.6,9053.8,72,11.5,0.0
2024-01-11,Capesize,26373.36,13186.68,96,9.2,0.0
2024-01-12,Handysize,10942.43,5471.22,48,36.9,0.0
2024-01-12,Supramax,13719.91,6859.95,60,10.3,0.0
2024-01-12,Panamax,17639.33,8819.67,72,33.1,0.0
2024-01-12,Capesize,26281.01,13140.5,96,43.3,0.0
2024-01-15,Handysize,10328.48,5164.24,48,47.8,0.0
2024-01-15,Supramax,13038.44,6519.22,60,15.6,0.0
2024-01-15,Panamax,17184.98,8592.49,72,52.2,0.0
2024-01-15,Capesize,26542.67,13271.33,96,21.5,0.0
2024-01-16,Handysize,10348.79,5174.4,48,23.7,0.0
2024-01-16,Supramax,13899.51,6949.76,60,12.8,0.0
2024-01-16,Panamax,17936.94,8968.47,72,38.1,0.0
2024-01-16,Capesize,26481.09,13240.55,96,53.0,0.0
2024-01-17,Handysize,10295.77,5147.89,48,49.5,643.49
2024-01-17,Supramax,13296.33,6648.16,60,16.7,0.0
2024-01-17,Panamax,17128.54,8564.27,72,31.9,0.0
2024-01-17,Capesize,26702.96,13351.48,96,18.2,0.0
2024-01-18,Handysize,10699.91,5349.95,48,20.0,0.0
2024-01-18,Supramax,13668.75,6834.38,60,41.2,0.0
2024-01-18,Panamax,17828.13,8914.07,72,49.2,0.0
2024-01-18,Capesize,26899.43,13449.72,96,28.9,0.0
2024-01-19,Handysize,10681.37,5340.69,48,18.4,0.0
2024-01-19,Supramax,13211.2,6605.6,60,14.4,0.0
2024-01-19,Panamax,17530.16,8765.08,72,40.8,0.0
2024-01-19,Capesize,26230.93,13115.47,96,4.4,0.0
2024-01-22,Handysize,10608.99,5304.49,48,14.5,0.0
2024-01-22,Supramax,13693.84,6846.92,60,17.2,0.0
2024-01-22,Panamax,16891.2,8445.6,72,17.2,0.0
2024-01-22,Capesize,26285.04,13142.52,96,20.8,0.0
2024-01-23,Handysize,10090.91,5045.45,48,16.8,0.0
2024-01-23,Supramax,13725.07,6862.53,60,21.6,0.0
2024-01-23,Panamax,17287.78,8643.89,72,17.7,0.0
2024-01-23,Capesize,26401.73,13200.86,96,0.0,0.0
2024-01-24,Handysize,10046.4,5023.2,48,20.7,0.0
2024-01-24,Supramax,13168.69,6584.35,60,28.4,0.0
2024-01-24,Panamax,17542.26,8771.13,72,22.5,0.0
2024-01-24,Capesize,26023.3,13011.65,96,31.9,0.0
2024-01-25,Handysize,10008.29,5004.15,48,35.7,0.0
2024-01-25,Supramax,13631.72,6815.86,60,34.4,0.0
2024-01-25,Panamax,16791.1,8395.55,72,46.1,0.0
2024-01-25,Capesize,26271.17,13135.58,96,21.2,0.0
2024-01-26,Handysize,10009.63,5004.81,48,36.6,0.0
2024-01-26,Supramax,14069.82,7034.91,60,16.3,0.0
2024-01-26,Panamax,17888.86,8944.43,72,16.4,0.0
2024-01-26,Capesize,26554.24,13277.12,96,36.8,0.0
2024-01-29,Handysize,10760.35,5380.18,48,45.4,0.0
2024-01-29,Supramax,13906.81,6953.4,60,27.5,0.0
2024-01-29,Panamax,16966.93,8483.47,72,32.9,0.0
2024-01-29,Capesize,26488.69,13244.34,96,39.0,0.0
2024-01-30,Handysize,10562.86,5281.43,48,0.0,0.0
2024-01-30,Supramax,14111.1,7055.55,60,49.5,0.0
2024-01-30,Panamax,17798.11,8899.06,72,50.1,0.0
2024-01-30,Capesize,26505.24,13252.62,96,25.2,0.0
2024-01-31,Handysize,10187.16,5093.58,48,21.3,0.0
2024-01-31,Supramax,13395.48,6697.74,60,27.6,0.0
2024-01-31,Panamax,17215.45,8607.73,72,54.9,0.0
2024-01-31,Capesize,26459.84,13229.92,96,24.9,0.0
2024-02-01,Handysize,9948.82,4974.41,48,24.9,0.0
2024-02-01,Supramax,13419.26,6709.63,60,17.8,0.0
2024-02-01,Panamax,17225.53,8612.76,72,43.8,0.0
2024-02-01,Capesize,25999.58,12999.79,96,21.4,0.0
2024-02-02,Handysize,10274.44,5137.22,48,49.1,470.91
2024-02-02,Supramax,13227.03,6613.52,60,37.1,0.0
2024-02-02,Panamax,17381.31,8690.66,72,21.0,0.0
2024-02-02,Capesize,25829.95,12914.98,96,11.8,0.0
2024-02-05,Handysize,10297.48,5148.74,48,25.6,0.0
2024-02-05,Supramax,13417.23,6708.61,60,26.3,0.0
2024-02-05,Panamax,16589.46,8294.73,72,12.8,0.0
2024-02-05,Capesize,25469.12,12734.56,96,55.2,0.0
2024-02-06,Handysize,10357.7,5178.85,48,29.9,0.0
2024-02-06,Supramax,13115.57,6557.78,60,12.5,0.0
2024-02-06,Panamax,16899.78,8449.89,72,16.9,0.0
2024-02-06,Capesize,25820.37,12910.18,96,21.8,0.0
2024-02-07,Handysize,9615.69,4807.85,48,0.0,0.0
2024-02-07,Supramax,12870.1,6435.05,60,30.4,0.0
2024-02-07,Panamax,17038.53,8519.26,72,0.0,0.0
2024-02-07,Capesize,25461.46,12730.73,96,26.3,0.0
2024-02-08,Handysize,10489.28,5244.64,48,9.2,0.0
2024-02-08,Supramax,12981.47,6490.73,60,0.0,0.0
2024-02-08,Panamax,17298.99,8649.5,72,9.1,0.0
2024-02-08,Capesize,25514.68,12757.34,96,9.1,0.0
2024-02-09,Handysize,10167.68,5083.84,48,19.2,0.0
2024-02-09,Supramax,13709.63,6854.81,60,6.7,0.0
2024-02-09,Panamax,17062.73,8531.36,72,28.0,0.0
2024-02-09,Capesize,25695.46,12847.73,96,45.8,0.0
2024-02-12,Handysize,9615.03,4807.52,48,27.3,0.0
2024-02-12,Supramax,13069.31,6534.65,60,14.2,0.0
2024-02-12,Panamax,17163.54,8581.77,72,16.3,0.0
2024-02-12,Capesize,25143.81,12571.91,96,27.0,0.0
2024-02-13,Handysize,9678.44,4839.22,48,33.0,0.0
