date,index_name,vessel_class,index_value
2021-01-01,BCI,Capesize,2382.45
2021-01-01,BHSI,Handysize,733.16
2021-01-01,BPI,Panamax,1620.4
2021-01-01,BSI,Supramax,1156.3
2021-01-04,BCI,Capesize,2124.12
2021-01-04,BHSI,Handysize,695.19
2021-01-04,BPI,Panamax,1550.15
2021-01-04,BSI,Supramax,1359.47
2021-01-05,BCI,Capesize,2289.83
2021-01-05,BHSI,Handysize,679.71
2021-01-05,BPI,Panamax,1546.92
2021-01-05,BSI,Supramax,1270.16
2021-01-06,BCI,Capesize,2350.14
2021-01-06,BHSI,Handysize,728.49
2021-01-06,BPI,Panamax,1637.31
2021-01-06,BSI,Supramax,1175.78
2021-01-07,BCI,Capesize,2470.23
2021-01-07,BHSI,Handysize,712.51
2021-01-07,BPI,Panamax,1425.85
2021-01-07,BSI,Supramax,1230.4
2021-01-08,BCI,Capesize,2363.58
2021-01-08,BHSI,Handysize,804.7
2021-01-08,BPI,Panamax,1624.79
2021-01-08,BSI,Supramax,1260.59
2021-01-11,BCI,Capesize,2339.82
2021-01-11,BHSI,Handysize,790.82
2021-01-11,BPI,Panamax,1604.82
2021-01-11,BSI,Supramax,1404.96
2021-01-12,BCI,Capesize,2469.07
2021-01-12,BHSI,Handysize,718.48
2021-01-12,BPI,Panamax,1580.8
2021-01-12,BSI,Supramax,1200.07
2021-01-13,BCI,Capesize,2542.4
2021-01-13,BHSI,Handysize,754.8
2021-01-13,BPI,Panamax,1780.79
2021-01-13,BSI,Supramax,1352.76
2021-01-14,BCI,Capesize,2425.83
2021-01-14,BHSI,Handysize,789.83
2021-01-14,BPI,Panamax,1535.92
2021-01-14,BSI,Supramax,1384.53
2021-01-15,BCI,Capesize,2292.69
2021-01-15,BHSI,Handysize,698.08
2021-01-15,BPI,Panamax,1524.19
2021-01-15,BSI,Supramax,1202.18
2021-01-18,BCI,Capesize,2109.52
2021-01-18,BHSI,Handysize,666.0
2021-01-18,BPI,Panamax,1741.3
2021-01-18,BSI,Supramax,1229.65
2021-01-19,BCI,Capesize,2161.39
2021-01-19,BHSI,Handysize,654.47
2021-01-19,BPI,Panamax,1498.44
2021-01-19,BSI,Supramax,1182.05
2021-01-20,BCI,Capesize,2166.03
2021-01-20,BHSI,Handysize,759.87
2021-01-20,BPI,Panamax,1458.52
2021-01-20,BSI,Supramax,1190.03
2021-01-21,BCI,Capesize,2051.67
2021-01-21,BHSI,Handysize,670.94
2021-01-21,BPI,Panamax,1448.78
2021-01-21,BSI,Supramax,1164.14
2021-01-22,BCI,Capesize,2111.03
2021-01-22,BHSI,Handysize,692.71
2021-01-22,BPI,Panamax,1537.93
2021-01-22,BSI,Supramax,1216.49
2021-01-25,BCI,Capesize,2107.0
2021-01-25,BHSI,Handysize,641.47
2021-01-25,BPI,Panamax,1456.78
2021-01-25,BSI,Supramax,1228.43
2021-01-26,BCI,Capesize,2199.46
2021-01-26,BHSI,Handysize,618.68
2021-01-26,BPI,Panamax,1338.72
2021-01-26,BSI,Supramax,1104.65
2021-01-27,BCI,Capesize,2105.05
2021-01-27,BHSI,Handysize,623.73
2021-01-27,BPI,Panamax,1400.6
2021-01-27,BSI,Supramax,1079.76
2021-01-28,BCI,Capesize,2136.27
2021-01-28,BHSI,Handysize,597.0
2021-01-28,BPI,Panamax,1363.89
2021-01-28,BSI,Supramax,1128.6
2021-01-29,BCI,Capesize,2181.39
2021-01-29,BHSI,Handysize,729.08
2021-01-29,BPI,Panamax,1478.7
2021-01-29,BSI,Supramax,1208.07
2021-02-01,BCI,Capesize,1948.81
2021-02-01,BHSI,Handysize,775.01
2021-02-01,BPI,Panamax,1558.36
2021-02-01,BSI,Supramax,1233.23
2021-02-02,BCI,Capesize,2115.49
2021-02-02,BHSI,Handysize,716.46
2021-02-02,BPI,Panamax,1571.68
2021-02-02,BSI,Supramax,1201.64
2021-02-03,BCI,Capesize,2217.18
