date,origin_port,destination_port,vessel_class,route_distance_nm,freight_rate_usd_per_ton
2024-01-01,Newcastle,Paradip,Panamax,4820,19.65
2024-01-01,Newcastle,Visakhapatnam (Outer),Capesize,4870,15.83
2024-01-01,Newcastle,Visakhapatnam (Inner),Panamax,4870,19.56
2024-01-01,Newcastle,Dhamra,Capesize,4800,15.59
2024-01-01,Newcastle,Gangavaram,Capesize,4880,15.92
2024-01-01,Newcastle,Haldia,Supramax,4950,23.23
2024-01-01,Newcastle,Gopalpur,Panamax,4840,19.4
2024-01-01,Samarinda,Paradip,Panamax,2150,9.7
2024-01-01,Samarinda,Visakhapatnam (Outer),Panamax,2190,9.92
2024-01-01,Samarinda,Visakhapatnam (Inner),Supramax,2190,11.5
2024-01-01,Samarinda,Dhamra,Panamax,2130,9.8
2024-01-01,Samarinda,Gangavaram,Panamax,2200,10.18
2024-01-01,Samarinda,Haldia,Handysize,2280,13.64
2024-01-01,Samarinda,Gopalpur,Supramax,2160,11.55
2024-01-01,Richards Bay,Paradip,Capesize,4450,15.26
2024-01-01,Richards Bay,Visakhapatnam (Outer),Capesize,4410,15.19
2024-01-01,Richards Bay,Visakhapatnam (Inner),Panamax,4410,17.87
2024-01-01,Richards Bay,Dhamra,Capesize,4480,15.26
2024-01-01,Richards Bay,Gangavaram,Capesize,4400,14.76
2024-01-01,Richards Bay,Haldia,Supramax,4580,21.49
2024-01-01,Richards Bay,Gopalpur,Panamax,4430,18.33
2024-01-01,Maputo,Paradip,Panamax,4250,17.06
2024-01-01,Maputo,Visakhapatnam (Outer),Panamax,4210,17.69
2024-01-01,Maputo,Visakhapatnam (Inner),Supramax,4210,19.46
2024-01-01,Maputo,Dhamra,Panamax,4280,17.42
2024-01-01,Maputo,Gangavaram,Panamax,4200,17.14
2024-01-01,Maputo,Haldia,Handysize,4380,23.76
2024-01-01,Maputo,Gopalpur,Supramax,4230,19.54
2024-01-01,Norfolk,Paradip,Capesize,9150,27.63
2024-01-01,Norfolk,Visakhapatnam (Outer),Capesize,9110,27.93
2024-01-01,Norfolk,Visakhapatnam (Inner),Panamax,9110,33.36
2024-01-01,Norfolk,Dhamra,Capesize,9180,27.96
2024-01-01,Norfolk,Gangavaram,Capesize,9100,27.57
2024-01-01,Norfolk,Haldia,Supramax,9280,39.82
2024-01-01,Norfolk,Gopalpur,Panamax,9130,32.88
2024-01-08,Newcastle,Paradip,Panamax,4820,19.98
2024-01-08,Newcastle,Visakhapatnam (Outer),Capesize,4870,16.7
2024-01-08,Newcastle,Visakhapatnam (Inner),Panamax,4870,19.77
2024-01-08,Newcastle,Dhamra,Capesize,4800,16.54
2024-01-08,Newcastle,Gangavaram,Capesize,4880,16.72
2024-01-08,Newcastle,Haldia,Supramax,4950,23.72
2024-01-08,Newcastle,Gopalpur,Panamax,4840,19.75
2024-01-08,Samarinda,Paradip,Panamax,2150,9.95
2024-01-08,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.23
2024-01-08,Samarinda,Visakhapatnam (Inner),Supramax,2190,11.56
2024-01-08,Samarinda,Dhamra,Panamax,2130,10.16
2024-01-08,Samarinda,Gangavaram,Panamax,2200,10.39
2024-01-08,Samarinda,Haldia,Handysize,2280,13.43
2024-01-08,Samarinda,Gopalpur,Supramax,2160,11.82
2024-01-08,Richards Bay,Paradip,Capesize,4450,15.54
2024-01-08,Richards Bay,Visakhapatnam (Outer),Capesize,4410,15.22
2024-01-08,Richards Bay,Visakhapatnam (Inner),Panamax,4410,18.78
2024-01-08,Richards Bay,Dhamra,Capesize,4480,15.53
2024-01-08,Richards Bay,Gangavaram,Capesize,4400,15.51
2024-01-08,Richards Bay,Haldia,Supramax,4580,21.95
2024-01-08,Richards Bay,Gopalpur,Panamax,4430,18.97
2024-01-08,Maputo,Paradip,Panamax,4250,17.7
2024-01-08,Maputo,Visakhapatnam (Outer),Panamax,4210,18.18
2024-01-08,Maputo,Visakhapatnam (Inner),Supramax,4210,20.58
2024-01-08,Maputo,Dhamra,Panamax,4280,18.15
2024-01-08,Maputo,Gangavaram,Panamax,4200,17.68
2024-01-08,Maputo,Haldia,Handysize,4380,23.65
2024-01-08,Maputo,Gopalpur,Supramax,4230,20.6
2024-01-08,Norfolk,Paradip,Capesize,9150,27.93
2024-01-08,Norfolk,Visakhapatnam (Outer),Capesize,9110,28.07
2024-01-08,Norfolk,Visakhapatnam (Inner),Panamax,9110,33.53
2024-01-08,Norfolk,Dhamra,Capesize,9180,28.63
2024-01-08,Norfolk,Gangavaram,Capesize,9100,28.76
2024-01-08,Norfolk,Haldia,Supramax,9280,39.41
2024-01-08,Norfolk,Gopalpur,Panamax,9130,34.94
2024-01-15,Newcastle,Paradip,Panamax,4820,19.96
2024-01-15,Newcastle,Visakhapatnam (Outer),Capesize,4870,16.54
2024-01-15,Newcastle,Visakhapatnam (Inner),Panamax,4870,20.1
2024-01-15,Newcastle,Dhamra,Capesize,4800,16.21
2024-01-15,Newcastle,Gangavaram,Capesize,4880,16.68
2024-01-15,Newcastle,Haldia,Supramax,4950,23.49
2024-01-15,Newcastle,Gopalpur,Panamax,4840,20.07
2024-01-15,Samarinda,Paradip,Panamax,2150,9.95
2024-01-15,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.36
2024-01-15,Samarinda,Visakhapatnam (Inner),Supramax,2190,11.65
2024-01-15,Samarinda,Dhamra,Panamax,2130,9.75
2024-01-15,Samarinda,Gangavaram,Panamax,2200,10.27
2024-01-15,Samarinda,Haldia,Handysize,2280,13.7
2024-01-15,Samarinda,Gopalpur,Supramax,2160,11.45
2024-01-15,Richards Bay,Paradip,Capesize,4450,15.34
2024-01-15,Richards Bay,Visakhapatnam (Outer),Capesize,4410,14.83
2024-01-15,Richards Bay,Visakhapatnam (Inner),Panamax,4410,18.25
2024-01-15,Richards Bay,Dhamra,Capesize,4480,15.13
2024-01-15,Richards Bay,Gangavaram,Capesize,4400,14.83
2024-01-15,Richards Bay,Haldia,Supramax,4580,22.08
2024-01-15,Richards Bay,Gopalpur,Panamax,4430,18.19
2024-01-15,Maputo,Paradip,Panamax,4250,18.24
2024-01-15,Maputo,Visakhapatnam (Outer),Panamax,4210,18.1
2024-01-15,Maputo,Visakhapatnam (Inner),Supramax,4210,19.94
2024-01-15,Maputo,Dhamra,Panamax,4280,18.31
2024-01-15,Maputo,Gangavaram,Panamax,4200,17.63
2024-01-15,Maputo,Haldia,Handysize,4380,23.98
2024-01-15,Maputo,Gopalpur,Supramax,4230,20.43
2024-01-15,Norfolk,Paradip,Capesize,9150,27.57
2024-01-15,Norfolk,Visakhapatnam (Outer),Capesize,9110,28.58
2024-01-15,Norfolk,Visakhapatnam (Inner),Panamax,9110,33.39
2024-01-15,Norfolk,Dhamra,Capesize,9180,27.87
2024-01-15,Norfolk,Gangavaram,Capesize,9100,28.33
2024-01-15,Norfolk,Haldia,Supramax,9280,40.6
2024-01-15,Norfolk,Gopalpur,Panamax,9130,33.73
2024-01-22,Newcastle,Paradip,Panamax,4820,19.76
2024-01-22,Newcastle,Visakhapatnam (Outer),Capesize,4870,16.85
2024-01-22,Newcastle,Visakhapatnam (Inner),Panamax,4870,20.48
2024-01-22,Newcastle,Dhamra,Capesize,4800,16.7
2024-01-22,Newcastle,Gangavaram,Capesize,4880,16.72
2024-01-22,Newcastle,Haldia,Supramax,4950,23.87
2024-01-22,Newcastle,Gopalpur,Panamax,4840,20.15
2024-01-22,Samarinda,Paradip,Panamax,2150,10.18
2024-01-22,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.04
2024-01-22,Samarinda,Visakhapatnam (Inner),Supramax,2190,11.69
2024-01-22,Samarinda,Dhamra,Panamax,2130,10.01
2024-01-22,Samarinda,Gangavaram,Panamax,2200,10.31
2024-01-22,Samarinda,Haldia,Handysize,2280,13.44
2024-01-22,Samarinda,Gopalpur,Supramax,2160,11.8
2024-01-22,Richards Bay,Paradip,Capesize,4450,15.5
2024-01-22,Richards Bay,Visakhapatnam (Outer),Capesize,4410,15.38
2024-01-22,Richards Bay,Visakhapatnam (Inner),Panamax,4410,18.84
2024-01-22,Richards Bay,Dhamra,Capesize,4480,15.41
2024-01-22,Richards Bay,Gangavaram,Capesize,4400,14.98
2024-01-22,Richards Bay,Haldia,Supramax,4580,21.8
2024-01-22,Richards Bay,Gopalpur,Panamax,4430,18.43
2024-01-22,Maputo,Paradip,Panamax,4250,17.62
2024-01-22,Maputo,Visakhapatnam (Outer),Panamax,4210,17.74
2024-01-22,Maputo,Visakhapatnam (Inner),Supramax,4210,20.69
2024-01-22,Maputo,Dhamra,Panamax,4280,18.59
2024-01-22,Maputo,Gangavaram,Panamax,4200,18.15
2024-01-22,Maputo,Haldia,Handysize,4380,23.85
2024-01-22,Maputo,Gopalpur,Supramax,4230,21.14
2024-01-22,Norfolk,Paradip,Capesize,9150,29.19
2024-01-22,Norfolk,Visakhapatnam (Outer),Capesize,9110,28.4
2024-01-22,Norfolk,Visakhapatnam (Inner),Panamax,9110,33.82
2024-01-22,Norfolk,Dhamra,Capesize,9180,29.06
2024-01-22,Norfolk,Gangavaram,Capesize,9100,28.18
2024-01-22,Norfolk,Haldia,Supramax,9280,40.9
2024-01-22,Norfolk,Gopalpur,Panamax,9130,34.4
2024-01-29,Newcastle,Paradip,Panamax,4820,19.56
2024-01-29,Newcastle,Visakhapatnam (Outer),Capesize,4870,16.86
2024-01-29,Newcastle,Visakhapatnam (Inner),Panamax,4870,20.06
2024-01-29,Newcastle,Dhamra,Capesize,4800,16.84
2024-01-29,Newcastle,Gangavaram,Capesize,4880,16.3
2024-01-29,Newcastle,Haldia,Supramax,4950,24.06
2024-01-29,Newcastle,Gopalpur,Panamax,4840,19.89
2024-01-29,Samarinda,Paradip,Panamax,2150,10.29
2024-01-29,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.46
2024-01-29,Samarinda,Visakhapatnam (Inner),Supramax,2190,11.75
2024-01-29,Samarinda,Dhamra,Panamax,2130,10.22
2024-01-29,Samarinda,Gangavaram,Panamax,2200,10.54
2024-01-29,Samarinda,Haldia,Handysize,2280,13.52
2024-01-29,Samarinda,Gopalpur,Supramax,2160,11.46
2024-01-29,Richards Bay,Paradip,Capesize,4450,15.4
2024-01-29,Richards Bay,Visakhapatnam (Outer),Capesize,4410,15.03
2024-01-29,Richards Bay,Visakhapatnam (Inner),Panamax,4410,18.75
2024-01-29,Richards Bay,Dhamra,Capesize,4480,15.72
2024-01-29,Richards Bay,Gangavaram,Capesize,4400,15.52
2024-01-29,Richards Bay,Haldia,Supramax,4580,22.5
2024-01-29,Richards Bay,Gopalpur,Panamax,4430,18.18
2024-01-29,Maputo,Paradip,Panamax,4250,17.66
2024-01-29,Maputo,Visakhapatnam (Outer),Panamax,4210,17.71
2024-01-29,Maputo,Visakhapatnam (Inner),Supramax,4210,20.18
2024-01-29,Maputo,Dhamra,Panamax,4280,17.7
2024-01-29,Maputo,Gangavaram,Panamax,4200,17.81
2024-01-29,Maputo,Haldia,Handysize,4380,23.75
2024-01-29,Maputo,Gopalpur,Supramax,4230,21.07
2024-01-29,Norfolk,Paradip,Capesize,9150,28.77
2024-01-29,Norfolk,Visakhapatnam (Outer),Capesize,9110,28.59
2024-01-29,Norfolk,Visakhapatnam (Inner),Panamax,9110,33.56
2024-01-29,Norfolk,Dhamra,Capesize,9180,28.97
2024-01-29,Norfolk,Gangavaram,Capesize,9100,27.68
2024-01-29,Norfolk,Haldia,Supramax,9280,40.1
2024-01-29,Norfolk,Gopalpur,Panamax,9130,33.9
2024-02-05,Newcastle,Paradip,Panamax,4820,20.18
2024-02-05,Newcastle,Visakhapatnam (Outer),Capesize,4870,16.58
2024-02-05,Newcastle,Visakhapatnam (Inner),Panamax,4870,19.85
2024-02-05,Newcastle,Dhamra,Capesize,4800,16.84
2024-02-05,Newcastle,Gangavaram,Capesize,4880,16.5
2024-02-05,Newcastle,Haldia,Supramax,4950,23.76
2024-02-05,Newcastle,Gopalpur,Panamax,4840,19.99
2024-02-05,Samarinda,Paradip,Panamax,2150,10.08
2024-02-05,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.01
2024-02-05,Samarinda,Visakhapatnam (Inner),Supramax,2190,11.81
2024-02-05,Samarinda,Dhamra,Panamax,2130,9.95
2024-02-05,Samarinda,Gangavaram,Panamax,2200,10.07
2024-02-05,Samarinda,Haldia,Handysize,2280,13.92
2024-02-05,Samarinda,Gopalpur,Supramax,2160,11.6
2024-02-05,Richards Bay,Paradip,Capesize,4450,15.57
2024-02-05,Richards Bay,Visakhapatnam (Outer),Capesize,4410,15.58
2024-02-05,Richards Bay,Visakhapatnam (Inner),Panamax,4410,18.83
2024-02-05,Richards Bay,Dhamra,Capesize,4480,15.77
2024-02-05,Richards Bay,Gangavaram,Capesize,4400,15.02
2024-02-05,Richards Bay,Haldia,Supramax,4580,22.13
2024-02-05,Richards Bay,Gopalpur,Panamax,4430,19.06
2024-02-05,Maputo,Paradip,Panamax,4250,18.09
2024-02-05,Maputo,Visakhapatnam (Outer),Panamax,4210,17.56
2024-02-05,Maputo,Visakhapatnam (Inner),Supramax,4210,20.82
2024-02-05,Maputo,Dhamra,Panamax,4280,18.26
2024-02-05,Maputo,Gangavaram,Panamax,4200,17.56
2024-02-05,Maputo,Haldia,Handysize,4380,23.74
2024-02-05,Maputo,Gopalpur,Supramax,4230,20.74
2024-02-05,Norfolk,Paradip,Capesize,9150,28.73
2024-02-05,Norfolk,Visakhapatnam (Outer),Capesize,9110,28.13
2024-02-05,Norfolk,Visakhapatnam (Inner),Panamax,9110,33.98
2024-02-05,Norfolk,Dhamra,Capesize,9180,28.24
2024-02-05,Norfolk,Gangavaram,Capesize,9100,27.88
2024-02-05,Norfolk,Haldia,Supramax,9280,39.39
2024-02-05,Norfolk,Gopalpur,Panamax,9130,34.26
2024-02-12,Newcastle,Paradip,Panamax,4820,20.31
2024-02-12,Newcastle,Visakhapatnam (Outer),Capesize,4870,17.26
2024-02-12,Newcastle,Visakhapatnam (Inner),Panamax,4870,20.23
2024-02-12,Newcastle,Dhamra,Capesize,4800,17.22
2024-02-12,Newcastle,Gangavaram,Capesize,4880,17.45
2024-02-12,Newcastle,Haldia,Supramax,4950,24.36
2024-02-12,Newcastle,Gopalpur,Panamax,4840,20.71
2024-02-12,Samarinda,Paradip,Panamax,2150,10.21
2024-02-12,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.76
2024-02-12,Samarinda,Visakhapatnam (Inner),Supramax,2190,12.07
2024-02-12,Samarinda,Dhamra,Panamax,2130,10.29
2024-02-12,Samarinda,Gangavaram,Panamax,2200,10.3
2024-02-12,Samarinda,Haldia,Handysize,2280,14.02
2024-02-12,Samarinda,Gopalpur,Supramax,2160,11.83
2024-02-12,Richards Bay,Paradip,Capesize,4450,15.57
2024-02-12,Richards Bay,Visakhapatnam (Outer),Capesize,4410,15.5
2024-02-12,Richards Bay,Visakhapatnam (Inner),Panamax,4410,18.59
2024-02-12,Richards Bay,Dhamra,Capesize,4480,16.06
2024-02-12,Richards Bay,Gangavaram,Capesize,4400,15.44
2024-02-12,Richards Bay,Haldia,Supramax,4580,23.03
2024-02-12,Richards Bay,Gopalpur,Panamax,4430,19.29
2024-02-12,Maputo,Paradip,Panamax,4250,18.59
2024-02-12,Maputo,Visakhapatnam (Outer),Panamax,4210,18.44
2024-02-12,Maputo,Visakhapatnam (Inner),Supramax,4210,20.8
2024-02-12,Maputo,Dhamra,Panamax,4280,18.77
2024-02-12,Maputo,Gangavaram,Panamax,4200,17.93
2024-02-12,Maputo,Haldia,Handysize,4380,24.55
2024-02-12,Maputo,Gopalpur,Supramax,4230,20.99
2024-02-12,Norfolk,Paradip,Capesize,9150,29.17
2024-02-12,Norfolk,Visakhapatnam (Outer),Capesize,9110,29.07
2024-02-12,Norfolk,Visakhapatnam (Inner),Panamax,9110,35.68
2024-02-12,Norfolk,Dhamra,Capesize,9180,29.76
2024-02-12,Norfolk,Gangavaram,Capesize,9100,28.6
2024-02-12,Norfolk,Haldia,Supramax,9280,41.88
2024-02-12,Norfolk,Gopalpur,Panamax,9130,34.9
2024-02-19,Newcastle,Paradip,Panamax,4820,20.22
2024-02-19,Newcastle,Visakhapatnam (Outer),Capesize,4870,16.68
2024-02-19,Newcastle,Visakhapatnam (Inner),Panamax,4870,21.15
2024-02-19,Newcastle,Dhamra,Capesize,4800,16.61
2024-02-19,Newcastle,Gangavaram,Capesize,4880,16.92
2024-02-19,Newcastle,Haldia,Supramax,4950,23.74
2024-02-19,Newcastle,Gopalpur,Panamax,4840,20.32
2024-02-19,Samarinda,Paradip,Panamax,2150,10.53
2024-02-19,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.46
2024-02-19,Samarinda,Visakhapatnam (Inner),Supramax,2190,12.26
2024-02-19,Samarinda,Dhamra,Panamax,2130,10.16
2024-02-19,Samarinda,Gangavaram,Panamax,2200,10.62
2024-02-19,Samarinda,Haldia,Handysize,2280,14.22
2024-02-19,Samarinda,Gopalpur,Supramax,2160,11.73
2024-02-19,Richards Bay,Paradip,Capesize,4450,16.19
2024-02-19,Richards Bay,Visakhapatnam (Outer),Capesize,4410,15.89
2024-02-19,Richards Bay,Visakhapatnam (Inner),Panamax,4410,18.77
2024-02-19,Richards Bay,Dhamra,Capesize,4480,15.69
2024-02-19,Richards Bay,Gangavaram,Capesize,4400,15.66
2024-02-19,Richards Bay,Haldia,Supramax,4580,22.75
2024-02-19,Richards Bay,Gopalpur,Panamax,4430,18.65
2024-02-19,Maputo,Paradip,Panamax,4250,18.15
2024-02-19,Maputo,Visakhapatnam (Outer),Panamax,4210,18.1
2024-02-19,Maputo,Visakhapatnam (Inner),Supramax,4210,21.13
2024-02-19,Maputo,Dhamra,Panamax,4280,18.15
2024-02-19,Maputo,Gangavaram,Panamax,4200,18.15
2024-02-19,Maputo,Haldia,Handysize,4380,24.3
2024-02-19,Maputo,Gopalpur,Supramax,4230,21.14
2024-02-19,Norfolk,Paradip,Capesize,9150,29.33
2024-02-19,Norfolk,Visakhapatnam (Outer),Capesize,9110,28.63
2024-02-19,Norfolk,Visakhapatnam (Inner),Panamax,9110,35.08
2024-02-19,Norfolk,Dhamra,Capesize,9180,29.33
2024-02-19,Norfolk,Gangavaram,Capesize,9100,28.97
2024-02-19,Norfolk,Haldia,Supramax,9280,40.41
2024-02-19,Norfolk,Gopalpur,Panamax,9130,35.33
2024-02-26,Newcastle,Paradip,Panamax,4820,20.2
2024-02-26,Newcastle,Visakhapatnam (Outer),Capesize,4870,16.61
2024-02-26,Newcastle,Visakhapatnam (Inner),Panamax,4870,20.94
2024-02-26,Newcastle,Dhamra,Capesize,4800,16.59
2024-02-26,Newcastle,Gangavaram,Capesize,4880,16.59
2024-02-26,Newcastle,Haldia,Supramax,4950,23.74
2024-02-26,Newcastle,Gopalpur,Panamax,4840,20.08
2024-02-26,Samarinda,Paradip,Panamax,2150,10.02
2024-02-26,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.59
2024-02-26,Samarinda,Visakhapatnam (Inner),Supramax,2190,11.8
2024-02-26,Samarinda,Dhamra,Panamax,2130,10.07
2024-02-26,Samarinda,Gangavaram,Panamax,2200,10.56
2024-02-26,Samarinda,Haldia,Handysize,2280,13.86
2024-02-26,Samarinda,Gopalpur,Supramax,2160,11.92
2024-02-26,Richards Bay,Paradip,Capesize,4450,15.92
2024-02-26,Richards Bay,Visakhapatnam (Outer),Capesize,4410,15.34
2024-02-26,Richards Bay,Visakhapatnam (Inner),Panamax,4410,18.6
2024-02-26,Richards Bay,Dhamra,Capesize,4480,15.67
2024-02-26,Richards Bay,Gangavaram,Capesize,4400,15.62
2024-02-26,Richards Bay,Haldia,Supramax,4580,22.62
2024-02-26,Richards Bay,Gopalpur,Panamax,4430,18.86
2024-02-26,Maputo,Paradip,Panamax,4250,18.59
2024-02-26,Maputo,Visakhapatnam (Outer),Panamax,4210,18.35
2024-02-26,Maputo,Visakhapatnam (Inner),Supramax,4210,20.21
2024-02-26,Maputo,Dhamra,Panamax,4280,18.04
2024-02-26,Maputo,Gangavaram,Panamax,4200,17.71
2024-02-26,Maputo,Haldia,Handysize,4380,24.72
2024-02-26,Maputo,Gopalpur,Supramax,4230,20.33
2024-02-26,Norfolk,Paradip,Capesize,9150,29.15
2024-02-26,Norfolk,Visakhapatnam (Outer),Capesize,9110,29.24
2024-02-26,Norfolk,Visakhapatnam (Inner),Panamax,9110,35.25
2024-02-26,Norfolk,Dhamra,Capesize,9180,28.15
2024-02-26,Norfolk,Gangavaram,Capesize,9100,29.25
2024-02-26,Norfolk,Haldia,Supramax,9280,40.67
2024-02-26,Norfolk,Gopalpur,Panamax,9130,34.51
2024-03-04,Newcastle,Paradip,Panamax,4820,20.84
2024-03-04,Newcastle,Visakhapatnam (Outer),Capesize,4870,17.28
2024-03-04,Newcastle,Visakhapatnam (Inner),Panamax,4870,20.91
2024-03-04,Newcastle,Dhamra,Capesize,4800,17.11
2024-03-04,Newcastle,Gangavaram,Capesize,4880,17.58
2024-03-04,Newcastle,Haldia,Supramax,4950,24.0
2024-03-04,Newcastle,Gopalpur,Panamax,4840,20.52
2024-03-04,Samarinda,Paradip,Panamax,2150,10.34
2024-03-04,Samarinda,Visakhapatnam (Outer),Panamax,2190,10.63
2024-03-04,Samarinda,Visakhapatnam (Inner),Supramax,2190,11.99
2024-03-04,Samarinda,Dhamra,Panamax,2130,10.54
2024-03-04,Samarinda,Gangavaram,Panamax,2200,10.87
2024-03-04,Samarinda,Haldia,Handysize,2280,14.57
2024-03-04,Samarinda,Gopalpur,Supramax,2160,11.89
2024-03-04,Richards Bay,Paradip,Capesize,4450,15.8
2024-03-04,Richards Bay,Visakhapatnam (Outer),Capesize,4410,16.23
2024-03-04,Richards Bay,Visakhapatnam (Inner),Panamax,4410,19.55
2024-03-04,Richards Bay,Dhamra,Capesize,4480,15.91
2024-03-04,Richards Bay,Gangavaram,Capesize,4400,16.2
2024-03-04,Richards Bay,Haldia,Supramax,4580,23.13
2024-03-04,Richards Bay,Gopalpur,Panamax,4430,19.73
2024-03-04,Maputo,Paradip,Panamax,4250,19.0
2024-03-04,Maputo,Visakhapatnam (Outer),Panamax,4210,18.42
2024-03-04,Maputo,Visakhapatnam (Inner),Supramax,4210,21.18
2024-03-04,Maputo,Dhamra,Panamax,4280,18.33
2024-03-04,Maputo,Gangavaram,Panamax,4200,18.57
2024-03-04,Maputo,Haldia,Handysize,4380,25.06
2024-03-04,Maputo,Gopalpur,Supramax,4230,21.21
2024-03-04,Norfolk,Paradip,Capesize,9150,28.96
2024-03-04,Norfolk,Visakhapatnam (Outer),Capesize,9110,29.63
2024-03-04,Norfolk,Visakhapatnam (Inner),Panamax,9110,36.09
