run_id,model_name,vessel_class,training_date,rmse,mape_percent,r2_score,top_feature,model_status
RUN-0001,SARIMAX_Bunker_Forecaster,Supramax,2026-05-06,2.46,7.4,0.872,baltic_dry_index,Archived
RUN-0002,SARIMAX_Bunker_Forecaster,Supramax,2025-10-02,1.53,6.06,0.861,baltic_dry_index,Archived
RUN-0003,RandomForest_Demurrage_Estimator,Panamax,2025-12-11,2.15,6.4,0.844,baltic_dry_index,Staging
RUN-0004,SARIMAX_Bunker_Forecaster,All_Classes,2024-09-06,1.92,9.28,0.885,bunker_price_vlsfo,Deployed
RUN-0005,XGBoost_Freight_Predictor,Capesize,2025-11-18,1.11,3.51,0.944,baltic_dry_index,Staging
RUN-0006,RandomForest_Demurrage_Estimator,Panamax,2026-04-08,2.14,8.78,0.857,distance_nm,Archived
RUN-0007,LightGBM_Congestion_Predictor,Supramax,2025-03-15,1.01,4.74,0.955,seasonal_monsoon_flag,Archived
RUN-0008,XGBoost_Freight_Predictor,Capesize,2025-10-26,1.36,3.22,0.892,seasonal_monsoon_flag,Deployed
RUN-0009,LightGBM_Congestion_Predictor,Capesize,2025-10-24,0.82,5.08,0.888,port_congestion_wait_days,Archived
RUN-0010,RandomForest_Demurrage_Estimator,All_Classes,2025-12-08,2.77,9.04,0.816,seasonal_monsoon_flag,Archived
RUN-0011,RandomForest_Demurrage_Estimator,All_Classes,2024-10-06,2.65,6.7,0.811,bunker_price_vlsfo,Archived
RUN-0012,SARIMAX_Bunker_Forecaster,Handysize,2024-06-03,2.31,8.56,0.882,seasonal_monsoon_flag,Archived
RUN-0013,SARIMAX_Bunker_Forecaster,Handysize,2024-05-21,2.15,5.08,0.843,distance_nm,Archived
RUN-0014,RandomForest_Demurrage_Estimator,All_Classes,2025-09-17,2.81,7.37,0.867,seasonal_monsoon_flag,Archived
RUN-0015,SARIMAX_Bunker_Forecaster,Capesize,2025-02-18,3.12,6.97,0.875,seasonal_monsoon_flag,Staging
RUN-0016,SARIMAX_Bunker_Forecaster,All_Classes,2026-01-06,2.98,6.34,0.843,trade_volume_monthly,Deployed
RUN-0017,XGBoost_Freight_Predictor,All_Classes,2025-09-20,1.15,5.13,0.923,distance_nm,Archived
RUN-0018,XGBoost_Freight_Predictor,Capesize,2025-06-20,1.74,4.62,0.9,distance_nm,Archived
RUN-0019,XGBoost_Freight_Predictor,Handysize,2025-11-18,1.04,3.99,0.925,trade_volume_monthly,Deployed
RUN-0020,XGBoost_Freight_Predictor,Capesize,2024-12-29,1.03,2.77,0.933,trade_volume_monthly,Archived
RUN-0021,XGBoost_Freight_Predictor,Panamax,2024-11-04,1.73,3.16,0.897,seasonal_monsoon_flag,Deployed
RUN-0022,RandomForest_Demurrage_Estimator,Capesize,2025-08-10,3.12,5.27,0.845,seasonal_monsoon_flag,Archived
RUN-0023,XGBoost_Freight_Predictor,Capesize,2025-11-08,1.21,5.13,0.932,port_congestion_wait_days,Archived
RUN-0024,LightGBM_Congestion_Predictor,Panamax,2024-10-05,1.05,3.05,0.944,distance_nm,Archived
RUN-0025,RandomForest_Demurrage_Estimator,Handysize,2025-10-04,2.43,7.3,0.788,distance_nm,Staging
