date,port_name,vessels_at_anchor,vessels_at_berth,avg_waiting_time_days,congestion_level
2024-01-01,Paradip,7,6,2.07,Medium
2024-01-01,Visakhapatnam (Outer),6,5,1.47,Low
2024-01-01,Visakhapatnam (Inner),6,3,1.54,Medium
2024-01-01,Dhamra,7,4,1.42,Low
2024-01-01,Gangavaram,4,2,0.97,Low
2024-01-01,Haldia,13,4,4.87,High
2024-01-01,Gopalpur,3,1,0.47,Low
2024-01-01,Newcastle,14,7,2.82,Medium
2024-01-01,Samarinda,10,4,1.8,Medium
2024-01-01,Richards Bay,4,3,0.98,Low
2024-01-01,Maputo,6,1,1.44,Low
2024-01-01,Norfolk,4,5,0.99,Low
2024-01-02,Paradip,11,5,3.21,Medium
2024-01-02,Visakhapatnam (Outer),6,3,1.33,Low
2024-01-02,Visakhapatnam (Inner),6,5,1.74,Medium
2024-01-02,Dhamra,5,2,1.12,Low
2024-01-02,Gangavaram,4,2,0.97,Low
2024-01-02,Haldia,15,5,5.55,High
2024-01-02,Gopalpur,2,4,0.43,Low
2024-01-02,Newcastle,12,7,2.6,Medium
2024-01-02,Samarinda,9,6,1.74,Medium
2024-01-02,Richards Bay,6,6,1.36,Low
2024-01-02,Maputo,5,3,1.24,Low
2024-01-02,Norfolk,3,3,0.72,Low
2024-01-03,Paradip,9,5,2.4,Medium
2024-01-03,Visakhapatnam (Outer),5,3,1.4,Low
2024-01-03,Visakhapatnam (Inner),11,4,2.74,Medium
2024-01-03,Dhamra,1,3,0.31,Low
2024-01-03,Gangavaram,4,3,0.92,Low
2024-01-03,Haldia,10,3,3.76,High
2024-01-03,Gopalpur,1,3,0.42,Low
2024-01-03,Newcastle,16,8,3.2,Medium
2024-01-03,Samarinda,8,6,1.64,Medium
2024-01-03,Richards Bay,12,4,2.62,Medium
2024-01-03,Maputo,6,3,1.09,Low
2024-01-03,Norfolk,4,2,0.75,Low
2024-01-04,Paradip,9,6,2.52,Medium
2024-01-04,Visakhapatnam (Outer),7,4,1.6,Medium
2024-01-04,Visakhapatnam (Inner),7,4,1.99,Medium
2024-01-04,Dhamra,3,4,0.81,Low
2024-01-04,Gangavaram,3,3,0.68,Low
2024-01-04,Haldia,15,6,5.71,High
2024-01-04,Gopalpur,2,1,0.69,Low
2024-01-04,Newcastle,14,7,2.91,Medium
2024-01-04,Samarinda,8,5,1.47,Low
2024-01-04,Richards Bay,8,3,2.06,Medium
2024-01-04,Maputo,4,2,1.03,Low
2024-01-04,Norfolk,3,4,0.63,Low
2024-01-05,Paradip,9,5,2.55,Medium
2024-01-05,Visakhapatnam (Outer),6,3,1.46,Low
2024-01-05,Visakhapatnam (Inner),5,5,1.28,Low
2024-01-05,Dhamra,2,3,0.72,Low
2024-01-05,Gangavaram,4,2,0.83,Low
2024-01-05,Haldia,9,4,3.61,High
2024-01-05,Gopalpur,3,2,0.58,Low
2024-01-05,Newcastle,11,8,2.12,Medium
2024-01-05,Samarinda,7,4,1.23,Low
2024-01-05,Richards Bay,11,3,2.62,Medium
2024-01-05,Maputo,5,3,1.09,Low
2024-01-05,Norfolk,3,4,0.6,Low
2024-01-08,Paradip,13,7,3.57,High
2024-01-08,Visakhapatnam (Outer),4,2,1.19,Low
2024-01-08,Visakhapatnam (Inner),5,5,1.28,Low
2024-01-08,Dhamra,5,4,1.01,Low
2024-01-08,Gangavaram,2,2,0.61,Low
2024-01-08,Haldia,11,4,4.25,High
2024-01-08,Gopalpur,2,3,0.42,Low
2024-01-08,Newcastle,15,12,2.93,Medium
2024-01-08,Samarinda,7,5,1.3,Low
2024-01-08,Richards Bay,13,5,2.7,Medium
2024-01-08,Maputo,3,3,0.66,Low
2024-01-08,Norfolk,3,2,0.63,Low
2024-01-09,Paradip,8,6,2.18,Medium
2024-01-09,Visakhapatnam (Outer),5,4,1.27,Low
2024-01-09,Visakhapatnam (Inner),14,5,3.58,High
2024-01-09,Dhamra,4,2,0.92,Low
